November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
11.849,7.807,3.814,5.413,5.482,6.873,1959
4.431,3.527,1.449,4.314,5.298,3.804,1960
10.002,2.689,4.634,3.401,6.297,5.405,1961
3.925,2.071,4.327,3.112,5.331,3.753,1962
3.442,2.006,3.269,8.681,8.14,5.108,1963
4.919,4.065,2.437,5.938,5.656,4.603,1964
4.566,3.006,4.755,5.776,6.36,4.893,1965
5.06,2.016,3.508,5.519,6.094,4.439,1966
5.176,6.39,3.494,3.722,6.616,5.08,1967
3.683,2.442,2.551,3.595,7.055,3.865,1968
5.164,2.981,2.54,4.943,9.267,4.979,1969
3.98,2.497,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,2.981,2.926,5.277,NaN,1972
3.677,2.298,4.028,6.528,4.559,4.218,1973
4.059,4.207,4.02,6.056,6.011,4.871,1974
5.018,3.084,4.531,5.288,7.57,5.098,1975
6.011,5.956,1.54,5.972,8.277,5.551,1976
5.579,1.674,1.626,3.586,4.21,3.335,1977
5.375,4.581,3.674,4.198,4.168,4.399,1978
4.314,3.557,2.45,3.682,7.177,4.236,1979
8.387,3.802,2.909,4.469,5.964,5.106,1980
5.094,3.709,4.913,6.566,6.928,5.442,1981
3.434,4.808,2.184,3.151,3.383,3.392,1982
4.163,3.49,4.065,4.91,7.019,4.729,1983
4.058,4.618,2.799,6.669,5.488,4.726,1984
5.928,2.854,3.061,4.888,4.83,4.312,1985
11.699,3.553,5.469,6.724,6.996,6.888,1986
5.187,5.251,3.711,7.341,9.699,6.238,1987
4.77,5.634,5.634,7.67,7.742,6.29,1988
6.217,4.198,3.868,5.536,5.524,5.069,1989
NaN,NaN,6.141,5.899,4.507,NaN,1990
7.348,4.283,2.119,4.682,5.077,4.702,1991
7.719,4.132,3.34,4.241,5.196,4.926,1992
8.958,2.935,3.89,5.605,7.066,5.691,1993
6.377,2.443,2.983,3.637,5.377,4.163,1994
8.606,3.178,3.268,4.342,7.628,5.404,1995
5.686,4.286,2.474,5.676,7.042,5.033,1996
4.236,3.086,1.417,2.464,3.912,3.023,1997
3.214,2.586,1.561,2.292,4.323,2.795,1998
3.048,NaN,1.422,1.182,4.839,NaN,1999
3.166,NaN,NaN,NaN,NaN,NaN,2000
2.343,1.246,1.494,2.396,4.101,2.316,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
6.032,4.429,2.986,4.959,7.395,5.16,2007
3.563,2.334,3.465,3.695,6.714,3.954,2008
5.404,2.744,1.266,2.706,5.236,3.471,2009
4.617,1.88,1.509,5.704,3.638,3.47,2010
4.434,6.764,5.638,6.201,5.517,5.711,2011
3.617,2.459,3.899,6.534,6.882,4.678,2012
9.1,6.51,7.674,4.48,6.686,6.89,2013
3.88,2.45,2.301,4.179,7.192,4,2014
5.339,3.204,2.025,4.222,4.447,3.847,2015
