November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,4.248,6.053,NaN,1941
4.62,2.173,2.88,3.702,4.13,3.501,1942
7.107,5.084,3.103,4.085,8.241,5.524,1943
3.093,2.041,2.511,4.037,4.504,3.237,1944
4.71,2.808,3.333,4.583,6.609,4.409,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,2.118,3.715,4.806,4.972,NaN,1947
8.301,2.984,6.109,4.561,5.284,5.448,1948
5.726,4.118,4.471,4.732,7.155,5.24,1949
3.735,1.909,2.825,3.718,7.179,3.873,1950
3.901,2.972,3.097,3.716,4.38,3.613,1951
6.352,3.496,3.079,6.378,6.788,5.219,1952
4.459,2.819,2.776,2.781,4.527,3.472,1953
3.756,2.554,2.083,5.523,8.071,4.397,1954
5.931,2.665,1.638,3.879,7.53,4.329,1955
7.804,3.999,2.902,3.308,6.045,4.812,1956
6.253,2.732,2.4,4.116,5.263,4.153,1957
7.815,5.641,3.565,5.228,8.314,6.113,1958
8.745,7.41,4.361,4.635,6.441,6.318,1959
3.719,2.413,2.02,4.755,6.135,3.808,1960
8.602,1.79,2.383,3.803,7.44,4.804,1961
5.07,3.001,4.425,2.487,6.16,4.229,1962
2.702,1.166,2.973,6.824,7.718,4.277,1963
3.561,3.357,3.653,6.616,7.541,4.946,1964
4.92,2.5,4.111,5.534,8.446,5.102,1965
5.344,1.788,2.463,3.232,5.371,3.64,1966
5.044,5.181,3.262,3.031,5.467,4.397,1967
2.643,2.826,2.562,3.801,5.853,3.537,1968
3.86,3.367,2.969,3.316,6.533,4.009,1969
4.954,2.854,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,4.446,3.734,6.107,NaN,1972
5.163,1.736,2.851,4.49,3.963,3.641,1973
3.827,3.032,3.58,5.221,5.865,4.305,1974
5.556,4.578,6.384,6.436,8.636,6.318,1975
6.116,6.46,3.558,5.507,9.53,6.234,1976
7.825,2.701,2.877,3.499,4.455,4.271,1977
5.983,3.995,3.412,4.405,6.747,4.908,1978
3.528,2.956,2.66,3.909,6.574,3.925,1979
6.834,2.163,2.039,2.27,3.601,3.381,1980
3.427,1.782,2.399,3.612,3.049,2.854,1981
3.275,3.157,2.717,4.517,6.274,3.988,1982
5.789,3.964,2.387,4.187,6.142,4.494,1983
4.227,3.861,2.153,5.607,6.114,4.392,1984
7.469,2.573,2.584,3.231,4.095,3.99,1985
7.622,2.154,3.981,5.099,5.182,4.808,1986
4.812,6.007,4.091,7.123,9.362,6.279,1987
5.582,3.277,3.954,5.591,5.889,4.859,1988
4.324,1.779,3.394,5.314,6.498,4.262,1989
NaN,NaN,5.566,5.659,3.321,NaN,1990
6.342,5.163,2.859,4.71,5.653,4.945,1991
5.303,2.752,2.199,4.029,4.4,3.737,1992
NaN,NaN,NaN,3.928,6.909,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
4.169,1.273,0.478,0.691,3.151,1.952,2009
2.396,0.403,0.104,2.836,2.408,1.629,2010
2.737,3.144,2.665,4.155,5.062,3.553,2011
2.154,0.715,2.127,3.499,6.307,2.96,2012
5.772,3.924,NaN,3.632,5.742,NaN,2013
2.015,1.04,0.89,2.445,7.331,2.744,2014
4.016,2.476,1.692,NaN,NaN,NaN,2015
