November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,2.143,2.5,4.149,7.09,NaN,1941
4.712,2.153,3.405,4.604,4.31,3.837,1942
7.912,4.375,3.739,4.32,7.728,5.615,1943
2.878,2.253,2.253,4.013,4.299,3.139,1944
4.133,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
5.467,2.733,2.754,3.051,5.781,3.957,1949
3.058,1.375,1.932,3.741,6.643,3.35,1950
5.215,2.666,2.963,4.413,4.798,4.011,1951
5.444,2.399,2.065,5.496,7.283,4.537,1952
5.417,3.289,4.074,3.092,4.968,4.168,1953
4.177,2.579,1.797,5.775,8.616,4.589,1954
6.643,2.673,1.69,4.575,8.375,4.791,1955
9.382,4.594,2.876,3.122,6.325,5.26,1956
4.668,2.564,2.149,3.314,4.855,3.51,1957
7.678,5.814,3.224,4.917,7.976,5.922,1958
9.725,7.134,4.795,4.033,6.607,6.459,1959
3.699,2.659,2.183,4.83,7.207,4.116,1960
8.182,1.961,2.532,2.914,6.543,4.426,1961
5.977,3.491,5.296,2.826,6.843,4.887,1962
2.998,1.681,3.478,7.24,8.013,4.682,1963
3.709,2.173,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
2.778,1.305,2.263,2.809,3.881,2.607,1972
4.379,1.77,2.791,5.389,5.091,3.884,1973
3.966,3.221,3,4.357,5.629,4.035,1974
4.321,2.549,4.521,3.692,6.883,4.393,1975
3.905,5.469,2.442,6.444,9.38,5.528,1976
6.568,2.816,2.469,3.512,4.737,4.02,1977
5.918,4.218,3.769,4.529,5.394,4.766,1978
5.055,3.282,1.833,3.229,6.837,4.047,1979
8.01,2.542,3.66,3.198,5.333,4.549,1980
3.345,2.27,2.644,3.824,4.247,3.266,1981
2.905,2.339,2.253,3.508,4.462,3.093,1982
4.802,3.287,2.933,5.066,7.386,4.695,1983
5.592,4.077,2.838,6.18,6.857,5.109,1984
5.14,1.986,3.211,4.096,4.89,3.865,1985
8.851,3.095,3.829,5.742,6.455,5.594,1986
3.528,3.584,2.9,6.234,9.18,5.085,1987
5.19,2.3,2.889,4.371,5.386,4.027,1988
5.472,2.617,2.613,5.274,6.458,4.487,1989
8.905,4.472,4.689,6.466,5.199,5.946,1990
6.384,5.212,2.148,4.734,6.224,4.94,1991
5.11,3.34,2.842,5.285,5.15,4.345,1992
6.761,2.154,2.786,4.309,6.914,4.585,1993
4.921,2.2,2.275,2.464,4.32,3.236,1994
5.603,2.734,2.539,3.21,5.585,3.934,1995
3.579,1.874,2.354,4.717,8.257,4.156,1996
4.916,2.515,2.139,3.208,4.738,3.503,1997
4.384,3.382,2.114,4.247,6.972,4.22,1998
4.573,4.579,3.177,3.913,5.776,4.404,1999
4.199,2.981,3.944,4.77,6.089,4.397,2000
4.31,2.823,2.94,4.975,7.898,4.589,2001
4.752,3.467,2.03,4.558,7.496,4.461,2002
6.547,3.882,3.015,5.201,6.402,5.009,2003
4.242,2.886,2.331,4.062,5.678,3.84,2004
7.636,3.135,2.998,6.181,4.959,4.982,2005
5.407,5.561,6.029,5.229,8.576,6.16,2006
7.127,4.739,4.616,5.435,9.4,6.263,2007
5.442,3.726,4.063,5.857,9.124,5.642,2008
6.061,3.646,3.111,3.149,7.459,4.685,2009
5.519,2.947,2.346,6.483,6.071,4.673,2010
5.718,6.668,6.392,7.599,8.825,7.04,2011
6.257,3.943,5.293,6.759,10.091,6.469,2012
9.499,7.586,9.58,6.627,10.557,8.77,2013
5.549,3.429,3.076,4.849,11.156,5.612,2014
5.326,3.77,3.388,5.455,6.56,4.9,2015
