November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,8.73,7.538,7.76,NaN,1947
10.506,4.133,10.863,5.564,6.414,7.496,1948
8.87,6.003,4.191,6.169,8.05,6.657,1949
5.403,1.963,3.418,4.313,13.003,5.62,1950
6.421,5.402,2.914,5.242,8.494,5.695,1951
10.945,2.161,3.332,10.61,10.296,7.469,1952
4.634,7.559,4.508,5.629,7.065,5.879,1953
5.471,3.468,5.053,9.855,12.95,7.359,1954
8.539,3.532,3.086,9.341,11.221,7.144,1955
11.713,10.15,8.254,5.518,7.574,8.642,1956
9.12,3.308,3.873,3.618,7.198,5.423,1957
10.267,8.516,5.274,7.904,13.646,9.121,1958
16.562,11.719,4.998,7.963,8.268,9.902,1959
7.115,5.59,2.983,6.902,6.871,5.892,1960
11.637,5.363,9.026,5.026,6.952,7.601,1961
6.908,4.786,7.878,4.755,8.222,6.51,1962
4.126,3.246,4.383,14.019,11.854,7.526,1963
5.679,4.804,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,4.264,4.015,7.08,NaN,1972
3.585,2.137,5.465,6.889,5.766,4.768,1973
5.038,4.574,5.563,5.163,6.475,5.363,1974
7.292,4.701,7.32,7.437,9.874,7.325,1975
8.5,10.462,4.709,7.835,10.889,8.479,1976
7.599,4.019,3.549,4.5,5.135,4.96,1977
9.379,8.049,6.564,5.032,6.351,7.075,1978
5.459,5.057,4.747,4.43,9.463,5.831,1979
9.601,5.03,2.457,6.022,6.502,5.922,1980
4.544,3.666,6.042,6.966,5.147,5.273,1981
4.648,5.704,3.195,3.882,4.265,4.339,1982
3.644,2.205,5.472,5.709,8.627,5.131,1983
3.11,3.947,5.681,11.607,8.9,6.649,1984
7.018,3.194,2.909,4.571,5.455,4.629,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
3.864,6.55,6.836,8.628,6.267,6.429,1988
7.218,5.985,4.951,7.106,8.212,6.694,1989
8.844,7.145,6.725,8.065,5.186,7.193,1990
NaN,NaN,NaN,4.951,5.128,NaN,1991
8.135,4.791,4.373,4.611,4.936,5.369,1992
13.202,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
8.38,2.78,3.334,4.229,8.2,5.385,1995
6.053,4.435,4.053,8.596,9.847,6.597,1996
3.088,5.002,0.746,2.355,5.938,3.426,1997
3.5,6.274,4.532,4.222,6.226,4.951,1998
3.544,6.424,3.106,2.462,8.491,4.805,1999
5.073,4.727,5.384,6.356,8.475,6.003,2000
4.173,2.643,4.802,6.767,8.534,5.384,2001
8.598,2.541,2.221,7.388,6.625,5.475,2002
4.876,2.39,3.042,4.823,9.269,4.88,2003
6.993,4.999,2.716,5.351,7.305,5.473,2004
7.752,4.125,3.916,8.942,5.042,5.955,2005
5.424,6.683,10.672,5.911,9.74,7.686,2006
10.374,6.699,4.857,6.692,11.144,7.953,2007
6.389,5.098,9.266,5.473,10.051,7.255,2008
7.667,4.865,1.995,3.517,7.827,5.174,2009
6.899,2.867,5.45,8.569,5.063,5.77,2010
6.624,11.195,8.05,9.978,7.585,8.686,2011
5.273,4.911,7.864,10.68,10.192,7.784,2012
11.703,10.848,14.282,6.746,9.23,10.562,2013
5.091,3.662,6.216,8.206,9.87,6.609,2014
8.46,4.115,3.513,7.297,6.553,5.988,2015
