November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,100,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,96.7741935483871,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,89.2857142857143,96.7741935483871,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,96.7741935483871,96.551724137931,100,1972
93.3333333333333,100,96.7741935483871,100,100,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,100,1984
100,100,100,100,100,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
93.3333333333333,100,100,100,100,1988
100,100,96.7741935483871,96.4285714285714,96.7741935483871,1989
100,100,100,100,100,1990
0,0,64.5161290322581,100,100,1991
100,100,96.7741935483871,100,100,1992
93.3333333333333,38.7096774193548,0,0,0,1993
0,0,0,3.57142857142857,0,1994
90,100,100,100,93.5483870967742,1995
93.3333333333333,100,100,100,100,1996
100,96.7741935483871,90.3225806451613,100,93.5483870967742,1997
100,100,90.3225806451613,100,100,1998
100,100,100,100,100,1999
100,100,100,100,100,2000
100,100,100,92.8571428571429,100,2001
100,96.7741935483871,100,100,100,2002
100,100,100,100,100,2003
100,100,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
100,100,90.3225806451613,100,96.7741935483871,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,100,100,100,96.7741935483871,2010
100,100,100,100,96.7741935483871,2011
100,100,100,100,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,96.7741935483871,100,100,96.7741935483871,2014
100,100,100,100,96.7741935483871,2015
