November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
5.04,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
9.904,4.11,6.025,7.551,7.505,7.019,1986
5.656,5.55,5.716,11.529,12.382,8.167,1987
4.394,6.254,6.631,8.882,5.627,6.358,1988
6.999,7.266,4.815,7.229,8.864,7.035,1989
8.048,9.28,8.285,7.926,5.116,7.731,1990
7.592,5.652,4.077,5.295,5.197,5.563,1991
7.096,4.91,4.744,5.743,6.051,5.709,1992
12.181,4.907,6.396,5.305,9.326,7.623,1993
6.746,2.987,1.885,4.417,6.453,4.498,1994
7.947,2.868,3.251,4.882,8.927,5.575,1995
6.236,4.792,4.713,9.336,10.521,7.12,1996
2.809,6.054,1.309,2.436,6.392,3.8,1997
3.85,7.815,6.16,4.555,6.327,5.741,1998
3.821,7.268,4.332,2.461,8.24,5.224,1999
5.05,4.838,6.062,6.769,9.082,6.36,2000
5.096,3.171,5.731,8.532,10.05,6.516,2001
9.125,2.654,2.951,8.604,7.097,6.086,2002
5.182,2.324,3.326,5.363,10.753,5.39,2003
7.965,6.297,3.604,6.688,8.384,6.588,2004
7.34,4.465,3.338,10.289,5.142,6.115,2005
5.192,6.945,11.65,5.942,10.35,8.016,2006
10.37,7.179,5.157,7.635,12.112,8.491,2007
6.566,5.029,9.91,5.155,10.416,7.415,2008
7.854,5.578,2.264,4.166,8.673,5.707,2009
6.838,2.418,6.455,9.007,4.896,5.923,2010
6.107,11.479,7.748,10.326,7.392,8.61,2011
4.954,4.892,8.349,10.567,9.642,7.681,2012
11.115,9.738,12.577,5.729,8.533,9.538,2013
4.651,3.238,6.683,8.758,10.097,6.685,2014
8.307,4.849,4.426,8.26,7.976,6.764,2015
