November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
5.345,3.343,4.831,5.922,5.892,5.067,1947
7.996,2.457,7.54,4.338,5.355,5.537,1948
4.826,3.514,3.724,3.967,5.825,4.371,1949
3.748,1.634,2.441,3.458,8.513,3.959,1950
3.546,2.87,1.813,3.081,5.315,3.325,1951
6.555,2.083,2.366,8.075,7.015,5.219,1952
3.873,4.859,3.56,3.248,4.791,4.066,1953
3.773,2.366,2.704,7.216,10.199,5.252,1954
6.554,2.421,1.865,6.211,8.32,5.074,1955
8.65,4.431,4.225,3.119,5.585,5.202,1956
6.771,2.208,1.727,3.113,5.096,3.783,1957
7.371,5.152,3.294,4.758,8.592,5.833,1958
9.203,7.346,3.858,5.91,6.061,6.476,1959
3.65,2.417,0.955,3.99,4.567,3.116,1960
8.304,2.226,3.331,2.629,4.511,4.2,1961
3.48,1.681,3.911,2.463,5.023,3.312,1962
1.687,0.485,1.78,6.929,7.266,3.629,1963
4.34,3.156,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.223,2.987,6.587,NaN,1972
4.464,2.188,4.151,6.153,4.478,4.287,1973
3.68,3.453,2.809,5.312,6.93,4.437,1974
7.351,3.962,5.528,5.053,8.292,6.037,1975
6.921,7.438,4.001,5.875,8.422,6.531,1976
6.121,2.219,2.135,3.071,3.672,3.444,1977
5.059,4.493,3.454,4.02,4.118,4.229,1978
4.157,2.717,2.252,2.921,5.548,3.519,1979
6.014,1.926,1.28,3.816,4.563,3.52,1980
4.968,2.302,2.944,4.972,3.973,3.832,1981
1.962,2.457,2.148,3.742,3.193,2.7,1982
4.317,3.093,3.122,4.181,6.741,4.291,1983
2.413,3.06,2.31,5.639,4.704,3.625,1984
4.935,1.663,1.815,3.204,4.216,3.167,1985
8.242,2.356,4.786,5.701,6.098,5.437,1986
3.598,4.583,3.121,6.933,9.381,5.523,1987
4.377,4.562,3.673,5.257,4.143,4.402,1988
4.369,2.432,3.343,5.694,5.257,4.219,1989
9.231,5.957,5.388,5.084,4.301,5.992,1990
7.105,3.877,1.519,3.084,3.676,3.852,1991
5.864,3.062,2.69,3.269,3.496,3.676,1992
6.264,2.056,NaN,NaN,5.702,NaN,1993
5.263,1.724,1.711,1.927,3.985,2.922,1994
6.045,2.498,2.889,3.19,5.77,4.078,1995
4.941,3.123,2.948,6.433,7.625,5.014,1996
3.974,3.512,1.687,2.818,4.389,3.276,1997
3.198,3.166,1.893,2.943,4.833,3.207,1998
3.242,4.767,2.727,2.343,6.038,3.823,1999
3.264,2.239,4.014,5.167,5.178,3.972,2000
3.627,2.877,2.681,3.661,5.565,3.682,2001
4.921,2.98,1.394,5.107,5.608,4.002,2002
4.049,2.592,2.154,4.168,6.159,3.824,2003
4.418,2.637,1.726,3.675,5.115,3.514,2004
6.205,2.878,3.24,5.69,4.79,4.561,2005
4.221,4.522,7.069,4.691,7.029,5.506,2006
6.834,5.242,3.364,4.673,7.445,5.512,2007
3.796,3.253,4.269,4.442,7.597,4.671,2008
5.865,3.503,2.461,3.205,6.158,4.238,2009
5.325,2.281,2.023,6.119,4.195,3.989,2010
4.831,6.648,5.596,7.122,6.561,6.152,2011
4.414,3.61,4.876,7.101,7.9,5.58,2012
7.65,6.682,7.494,5.263,9.043,7.226,2013
4.715,3.635,3.279,5.159,7.878,4.933,2014
6.001,4.348,3.508,5.377,5.527,4.952,2015
