November,December,January,February,March,year
0,0,0,0,3.2258064516129,1940
53.3333333333333,0,48.3870967741936,92.8571428571429,100,1941
100,100,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,74.1935483870968,0,0,1945
0,0,0,0,0,1946
0,0,96.7741935483871,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,100,100,100,100,1970
100,100,100,100,100,1971
100,96.7741935483871,100,100,100,1972
100,100,96.7741935483871,92.8571428571429,100,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
96.6666666666667,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,96.7741935483871,1984
100,100,96.7741935483871,100,100,1985
100,100,100,96.4285714285714,100,1986
100,100,100,100,100,1987
96.6666666666667,100,100,96.551724137931,96.7741935483871,1988
100,93.5483870967742,100,100,100,1989
96.6666666666667,96.7741935483871,96.7741935483871,100,100,1990
100,96.7741935483871,100,100,100,1991
100,93.5483870967742,96.7741935483871,96.551724137931,100,1992
100,100,100,100,96.7741935483871,1993
36.6666666666667,100,100,100,74.1935483870968,1994
100,100,100,100,100,1995
96.6666666666667,100,100,100,100,1996
96.6666666666667,100,100,100,100,1997
100,100,100,100,100,1998
100,100,100,100,100,1999
100,100,96.7741935483871,100,100,2000
100,100,100,100,100,2001
96.6666666666667,100,100,100,100,2002
96.6666666666667,96.7741935483871,100,100,100,2003
100,100,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
100,100,100,100,96.7741935483871,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,100,100,100,96.7741935483871,2010
100,100,100,100,96.7741935483871,2011
96.6666666666667,100,100,100,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
100,100,100,100,96.7741935483871,2015
