November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
-0.051,-0.781,3.576,4.653,7.513,2.982,1959
6.669,3.539,3.844,6.247,5.615,5.183,1960
0.683,3.548,0.639,4.753,4.257,2.776,1961
7.943,4.885,-0.209,9.584,4.878,5.416,1962
6.454,2.347,3.249,0.115,1.724,2.778,1963
6.108,7.249,4.498,3.015,5.867,5.347,1964
7.355,1.361,1.969,2.192,5.058,3.587,1965
6.655,4.661,3.529,3.636,4.673,4.631,1966
7.452,0.06,2.482,8.971,6.485,5.09,1967
6.95,3.379,3.31,3.923,4.518,4.416,1968
6.117,6.323,7.155,6.027,3.451,5.815,1969
8.624,5.423,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,5.156,9.227,6.52,NaN,1972
7.432,6.964,5.102,4.49,8.615,6.521,1973
7.666,3.866,2.67,4.778,5.861,4.968,1974
5.942,5.153,3.702,5.095,3.938,4.766,1975
6.671,1.277,3.717,4.835,2.491,3.798,1976
5.965,8.126,8.835,7.731,10.651,8.262,1977
5.103,1.139,4.076,5.696,8.88,4.979,1978
6.845,4.978,6.407,7.747,4.468,6.089,1979
3.889,4.562,5.797,5.631,5.574,5.091,1980
8.212,6.495,1.375,4.065,4.256,4.881,1981
6.03,2.535,4.692,8.801,9.184,6.248,1982
8.013,7.565,5.189,5.76,7.787,6.863,1983
5.829,1.867,2.221,3.36,4.929,3.641,1984
2.407,2.419,6.891,6.567,9.416,5.54,1985
1.39,3.923,1.519,3.555,5.17,3.111,1986
5.81,2.793,4.484,3.715,3.432,4.047,1987
7.102,1.984,1.157,0.852,5.118,3.243,1988
5.7,2.186,3.766,2.27,7.398,4.264,1989
NaN,NaN,2.116,7.089,6.152,NaN,1990
5.974,3.668,4.165,8.177,9.304,6.258,1991
4.493,3.765,4.459,5.93,10.24,5.777,1992
2.713,5.03,4.957,4.478,7.425,4.921,1993
2.85,4.817,8.693,8.496,7.057,6.383,1994
6.857,7.678,6.003,8.281,6.42,7.048,1995
7.289,6.245,6.263,5.943,7.824,6.713,1996
9.745,5.191,8.862,7.946,8.906,8.13,1997
8.504,4.32,5.867,7.362,6.899,6.59,1998
10.522,NaN,9.017,10.22,8.42,NaN,1999
6.921,NaN,5.745,NaN,NaN,NaN,2000
11.4,8.507,6.437,8.676,9.098,8.824,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
5.672,2.753,4.2,4.209,5.197,4.406,2007
8.72,3.674,4.172,6.26,5.387,5.643,2008
5.332,3.771,7.405,8.101,6.382,6.198,2009
6.175,7.687,5.264,2.661,7.636,5.885,2010
5.547,-0.207,2.16,3.646,5.204,3.27,2011
8.376,5.475,1.991,2.331,6.808,4.996,2012
2.982,-0.686,1.228,6.697,7.304,3.505,2013
8.371,8.254,5.874,7.998,8.001,7.7,2014
4.257,4.692,7.302,7.302,8.95,6.501,2015
