November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,4.904,5.578,NaN,1941
7.225,5.717,4.523,6.989,8.828,6.656,1942
5.166,3.616,4.806,4.777,3.959,4.465,1943
7.602,6.423,3.915,6.204,5.775,5.984,1944
6.351,5.602,2.82,3.576,4.96,4.662,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,4.386,5.36,3.538,5.313,NaN,1947
2.677,3.159,-2.738,3.514,6.329,2.588,1948
7.953,2.744,1.845,6.21,5.133,4.777,1949
10.577,8.542,5.052,6.038,4.943,7.03,1950
8.545,4.334,4.172,5.981,5.815,5.769,1951
4.025,5.144,7.025,3.224,5.272,4.938,1952
7.751,4.565,4.59,6.286,6.024,5.843,1953
6.915,4.186,3.216,2.679,3.827,4.165,1954
4.777,7.401,7.76,4.12,5.287,5.869,1955
3.71,2.755,2.897,8.47,7.115,4.989,1956
4.837,4.716,5.645,8.369,5.777,5.869,1957
4.446,3.911,6.056,4.465,5.935,4.963,1958
3.416,0.526,3.426,5.317,7.429,4.023,1959
6.585,3.898,3.213,6.095,6.09,5.176,1960
2.626,4.638,2.031,4.762,5.151,3.842,1961
6.41,4.178,-0.052,10.573,4.577,5.137,1962
7.643,2.812,3.723,1.475,2.879,3.706,1963
6.196,6.315,4.177,2.14,4.241,4.614,1964
7.379,2.14,2.018,2.579,4.056,3.634,1965
7.136,5.229,5.056,5.713,5.946,5.816,1966
7.641,-0.361,2.252,8.675,6.398,4.921,1967
7.975,3.111,4.488,4.791,5.435,5.16,1968
7.048,4.725,6.404,7.527,6.545,6.45,1969
7.625,5.474,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.06,7.183,5.412,NaN,1972
6.672,5.872,4.878,3.784,7.891,5.819,1973
6.18,3.23,1.449,5.17,4.503,4.106,1974
3.993,1.701,0.18,3.62,2.608,2.42,1975
6.081,-0.104,2.075,4.664,1.157,2.775,1976
3.805,6.619,6.539,6.262,9.171,6.479,1977
4.277,0.137,3.237,3.97,4.928,3.31,1978
7.396,5.234,6.917,7.397,4.71,6.331,1979
5.47,5.083,6.454,7.45,7.512,6.394,1980
9.383,7.034,2.774,6.359,7.859,6.682,1981
6.772,3.956,4.031,6.421,6.106,5.457,1982
5.54,6.292,4.725,4.81,6.954,5.664,1983
6.293,3.119,3.085,3.821,4.904,4.244,1984
1.752,1.205,7.002,7.457,8.649,5.213,1985
3.807,4.465,1.842,4.58,6.304,4.2,1986
5.846,1.598,3.603,3.098,3.674,3.564,1987
6.414,2.837,1.251,2.829,7.746,4.215,1988
6.956,3.534,3.641,2.274,6.579,4.597,1989
NaN,NaN,1.919,6.319,7.125,NaN,1990
6.591,3.323,4.143,8.958,9.684,6.54,1991
6.306,3.672,5.362,6.36,10.296,6.399,1992
NaN,NaN,NaN,5.117,7.183,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
6.24,6.064,8.126,10.243,8.859,7.906,2009
8.509,9.592,6.96,5.341,9.63,8.006,2010
7.674,2.191,4.427,5.089,7.146,5.305,2011
10.071,7.768,4.014,4.808,7.92,6.916,2012
5.858,1.825,NaN,8.937,8.692,NaN,2013
10.247,9.454,7.124,9.153,8.321,8.86,2014
5.828,4.524,8.476,NaN,NaN,NaN,2015
