November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,0.713,0.281,1.64,NaN,1947
1.009,1.227,-7.414,1.502,4.343,0.133,1948
4.518,0.148,-0.826,3.354,2.929,2.025,1949
7.812,6.926,2.971,4.396,-1.031,4.215,1950
5.006,1.556,2.424,3.494,1.453,2.787,1951
-0.363,4.788,6.594,-0.439,1.746,2.465,1952
7.047,1.809,2.98,4.419,3.224,3.896,1953
5.403,2.406,0.458,-1.623,-0.87,1.155,1954
2.393,5.145,4.972,-1.951,0.382,2.188,1955
0.283,-2.74,-2.959,4.994,4.334,0.782,1956
1.104,3.381,3.456,7.37,2.329,3.528,1957
1.924,2.463,3.742,1.568,0.162,1.972,1958
-3.668,-4.019,1.495,1.574,4.58,-0.008,1959
3.673,1.841,3.155,3.859,3.657,3.237,1960
-0.862,1.394,-1.699,2.853,3.335,1.004,1961
5.09,3.455,-2.971,7.955,1.816,3.069,1962
5.944,2.273,1.985,-3.474,-1.12,1.122,1963
4.185,4.776,3.783,0.771,4.738,3.651,1964
7.059,0.481,0.805,1.361,3.937,2.729,1965
5.417,3.492,2.85,2.756,3.297,3.562,1966
5.75,-0.388,1.08,8.518,6.238,4.24,1967
5.702,1.934,2.439,4.268,2.797,3.428,1968
3.346,3.914,4.32,4.272,1.298,3.43,1969
6.688,2.711,0.818,1.51,1.848,2.715,1970
1.747,1.114,-0.023,4.406,5.864,2.622,1971
5.807,-0.549,1.161,5.863,2.556,2.968,1972
6.744,6.101,1.999,1.988,6.405,4.647,1973
5.199,1.886,0.538,3.193,3.198,2.803,1974
2.58,3.035,0.184,1.664,0.62,1.617,1975
5.052,-1.936,1.522,3.67,0.915,1.845,1976
4.538,5.512,6.856,6.547,9.3,6.551,1977
1.771,-1.488,1.382,4.683,7.333,2.736,1978
5.329,3.85,4.451,7.202,2.368,4.64,1979
2.477,4.178,6.288,5.084,5.894,4.784,1980
8.238,5.784,0.057,2.992,4.978,4.41,1981
4.791,2.395,4.657,7.148,7.683,5.335,1982
6.895,5.901,2.872,3.315,5.007,4.798,1983
6.517,2.534,0.863,-0.364,2.215,2.353,1984
1.648,2.562,6.71,7.135,8.715,5.354,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
7.234,0.84,0.38,-0.68,6.083,2.771,1988
5.324,1.92,3.463,1.601,5.87,3.636,1989
1.827,-2.275,0.786,4.523,4.394,1.851,1990
NaN,NaN,NaN,6.584,7.609,NaN,1991
3.196,1.835,1.896,3.881,9.035,3.969,1992
-2.771,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
4.732,6.098,4.364,6.516,4.646,5.271,1995
5.705,5.84,3.577,1.842,4.387,4.27,1996
NaN,2.32,7.791,6.283,5.831,NaN,1997
6.621,-0.192,2.82,3.572,3.405,3.245,1998
8.134,1.536,4.868,7.371,3.814,5.145,1999
3.223,3.144,1.172,1.941,5.923,3.081,2000
6.9,5.42,2.347,4.027,2.527,4.244,2001
2.983,5.549,7.575,2.112,5.72,4.788,2002
4.809,5.28,3.512,4.342,6.141,4.817,2003
3.949,3.554,4.463,5.435,5.646,4.609,2004
3.851,4.569,4.577,1.181,3.457,3.527,2005
5.621,0.794,-3.709,3.541,4.481,2.146,2006
2.42,0.692,1.706,2.885,1.287,1.798,2007
6.436,1.219,0.578,4.027,2.501,2.952,2008
3.356,1.454,6.302,6.794,3.891,4.359,2009
4.319,6.133,2.549,0.545,5.802,3.87,2010
3.248,-2.879,-0.119,0.545,3.199,0.799,2011
6.992,3.03,-0.943,-0.509,3.713,2.457,2012
1.061,-3.461,-3.138,4.491,4.767,0.744,2013
6.855,7.046,3.857,4.794,5.758,5.662,2014
1.752,3.643,5.826,5.156,6.771,4.63,2015
