year,meanFogStart
1941,7.69230769230769
1942,8.35294117647059
1943,8.20689655172414
1944,7.38636363636364
1945,6.05555555555556
1946,NaN
1947,NaN
1948,NaN
1949,8.29545454545454
1950,8.22222222222222
1951,6
1952,6.82926829268293
1953,6.43137254901961
1954,7.61224489795918
1955,7.13636363636364
1956,7.47058823529412
1957,7.76190476190476
1958,6.3125
1959,6.61111111111111
1960,8.80487804878049
1961,8.5
1962,8.16666666666667
1963,8.28301886792453
1964,10.2173913043478
1965,NaN
1966,NaN
1967,NaN
1968,NaN
1969,NaN
1970,NaN
1971,7.75
1972,8.02083333333333
1973,7.17948717948718
1974,8.13888888888889
1975,8.19230769230769
1976,8.54838709677419
1977,8.10869565217391
1978,7.09677419354839
1979,7.93103448275862
1980,8.73913043478261
1981,7.86
1982,8.60416666666667
1983,7.875
1984,7.27777777777778
1985,9.41666666666667
1986,6.86111111111111
1987,8.40740740740741
1988,8.3265306122449
1989,8.51282051282051
1990,7.76923076923077
1991,8.25
1992,7.94285714285714
1993,8.10526315789474
1994,8.17142857142857
1995,8.82142857142857
1996,7.28205128205128
1997,7.90196078431373
1998,9.31578947368421
1999,8.75
2000,8.5
2001,6.96666666666667
2002,8.8
2003,8.13333333333333
2004,8.07142857142857
2005,6.82142857142857
2006,9.36363636363636
2007,6.53333333333333
2008,9.56
2009,7.65384615384615
2010,7.76190476190476
2011,8.55
2012,7.26666666666667
2013,5
2014,6.85294117647059
2015,6.5
2016,NaN
