year,meanFogStart
1941,8.88888888888889
1942,8.90196078431373
1943,8.1
1944,7.87234042553191
1945,7.54545454545455
1946,NaN
1947,NaN
1948,NaN
1949,7.125
1950,10.3829787234043
1951,7.21428571428571
1952,7.81395348837209
1953,9.77777777777778
1954,9.25
1955,7.19565217391304
1956,9.5
1957,9.59090909090909
1958,8.12121212121212
1959,6.66666666666667
1960,8.30434782608696
1961,10.2444444444444
1962,8.49206349206349
1963,9.77777777777778
1964,9.03846153846154
1965,NaN
1966,NaN
1967,NaN
1968,NaN
1969,NaN
1970,NaN
1971,7.75
1972,8.44
1973,6.75
1974,9.92307692307692
1975,7.51724137931035
1976,7.6969696969697
1977,7.11764705882353
1978,7
1979,8.24137931034483
1980,8.80769230769231
1981,8.32075471698113
1982,9.92307692307692
1983,7.85294117647059
1984,10.3243243243243
1985,10.8947368421053
1986,9.22222222222222
1987,7.45161290322581
1988,8.49019607843137
1989,10.8292682926829
1990,8.29411764705882
1991,10.1904761904762
1992,9.44444444444444
1993,7.375
1994,8.62162162162162
1995,9.41379310344828
1996,8.95121951219512
1997,8.03636363636364
1998,8.5609756097561
1999,7.08333333333333
2000,8.93333333333333
2001,8
2002,9.98039215686275
2003,8.16129032258065
2004,10.5172413793103
2005,7.42857142857143
2006,7.38461538461539
2007,5.73333333333333
2008,8.84615384615385
2009,7.03846153846154
2010,9.63636363636364
2011,7.05
2012,7.1875
2013,5
2014,7.17647058823529
2015,5.16666666666667
2016,NaN
