November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,0,19.7,58.2,NaN,1947
0.5,31.5,15.2,18.6,91.5,157.3,1948
11.7,19.8,76.6,46.8,46.8,201.7,1949
47.2,40.7,49.4,40.7,7.8,185.8,1950
26.1,71.7,91.2,13.6,90.8,293.4,1951
40.9,103,37.8,2.8,14.5,199,1952
38.4,13,45.8,28.8,73.7,199.7,1953
33.5,46.4,89.2,37.1,1.8,208,1954
34,171,61.3,16.6,0.5,283.4,1955
0,8,44.6,44.2,7.8,104.6,1956
25.9,48.3,51.7,104.4,147.2,377.5,1957
5.3,8.1,37.3,93,2.3,146,1958
0,11,53.1,56.3,20.8,141.2,1959
69.9,1.8,38.6,10.2,26.5,147,1960
40.7,33.6,28.4,151.7,26.4,280.8,1961
0.8,12.3,54.9,51,53.4,172.4,1962
64.6,6.9,17,0,26.1,114.6,1963
37.8,66.9,26.6,10.9,60.6,202.8,1964
68.5,44,13.5,13.7,0.3,140,1965
39.9,77.2,56,5.6,80,258.7,1966
39.3,26.3,26.6,28,37.9,158.1,1967
49.4,61.8,217.3,142.7,29.2,500.4,1968
20.3,28.9,97.3,32.4,42,220.9,1969
58.3,63.8,10.1,7.3,14.8,154.3,1970
16.6,65.2,9.4,17.1,0,108.3,1971
89,35.7,48.6,93.7,72.4,339.4,1972
35.4,44.2,71.7,6.4,65.1,222.8,1973
8.7,32,17.5,24.6,61.9,144.7,1974
5.2,3.6,1,114.8,16.4,141,1975
22.2,18,17.4,2.3,26.4,86.3,1976
11.7,76.6,80.2,112.1,107.9,388.5,1977
34.2,15.8,69,64.3,57.8,241.1,1978
25.9,18.8,97.4,83.9,52.1,278.1,1979
3.6,12.5,67.8,42.1,56.5,182.5,1980
31,16.7,53.6,14.7,121,237,1981
80.4,40.4,130.6,94,115.1,460.5,1982
63.8,44.5,3.8,26.6,11.2,149.9,1983
49.4,50.4,11,18,43.9,172.7,1984
76.9,18.4,54,92.9,86.8,329,1985
0.3,58.6,49.1,34.6,60.6,203.2,1986
13.3,30.2,38.8,5.8,22.1,110.2,1987
36.1,62.3,12.2,32,55,197.6,1988
12.7,0,71.6,33.7,16.9,134.9,1989
11.7,17.3,3.3,25.6,183.8,241.7,1990
1,31,49.3,120.2,54.4,255.9,1991
0,68.1,131.5,62,44.8,306.4,1992
29.6,26.2,29.3,48.8,13.2,147.1,1993
40,33.8,137.8,23.8,149.5,384.9,1994
0,52.9,52.8,82.9,46.6,235.2,1995
49.4,108.6,89.7,4.4,2.6,254.7,1996
67.7,25.2,86.5,124.6,87.4,391.4,1997
10.9,15.8,71.6,30.1,12.3,140.7,1998
12.2,0.8,79.9,148.4,41.3,282.6,1999
0.3,1.9,67.7,56.6,24.4,150.9,2000
50.6,49.8,19.4,10.2,24.1,154.1,2001
45.3,57.1,10.2,31,16,159.6,2002
10.2,74.3,22.3,42.9,39.1,188.8,2003
20.7,80.3,61.5,58.6,63.7,284.8,2004
4.4,50.6,86.4,13.8,120.4,275.6,2005
5.8,33.8,15,58.2,24.6,137.4,2006
2.3,58.7,84.4,53.8,0.6,199.8,2007
34.9,27.8,26,61.6,6,156.3,2008
5.1,61.2,52.2,74.9,24.5,217.9,2009
45.8,150.3,43.5,40.6,88,368.2,2010
17,0,35.1,12.2,59,123.3,2011
28.3,51.6,14.8,22.6,16.5,133.8,2012
13.7,3.8,14.5,53.5,15.8,101.3,2013
10.2,58.3,5.3,28.8,1.6,104.2,2014
44.3,75.6,85.7,NaN,NaN,NaN,2015
