November,December,January,February,March,average,year
1.397,15.213,13.213,10.576,4.426,8.965,1940
2.63,10.613,5.245,8.75,1.529,5.753,1941
4.94,5.21,9.397,2.943,4.635,5.425,1942
1.447,1.768,4.29,6.921,1.51,3.187,1943
5.72,3.7,3.713,5.779,4.713,4.725,1944
6.353,13.713,4.723,1.732,2.142,5.733,1945
4.25,1.731,1.271,4.064,7.339,3.731,1946
0.96,1.697,4.768,1.427,5.506,2.872,1947
1.5,4.145,0.571,5.407,9.206,4.166,1948
1.813,2.071,8.19,3.454,3.268,3.759,1949
3.663,5.132,5.176,5.625,4.335,4.786,1950
7.543,11.055,7.832,3.757,4.716,6.981,1951
3.463,14.439,7.338,0.659,4.013,5.982,1952
2.946,1.932,11.274,4.593,6.61,5.471,1953
5.773,6.194,3.284,0.8,0.723,3.355,1954
7.77,12.261,11.471,7.104,0.223,7.766,1955
0.37,0.248,4.432,6.652,4.745,3.289,1956
2.91,5.829,7.421,16.314,5.239,7.543,1957
0.627,2.09,7.287,6.571,1.713,3.658,1958
0.017,1.526,6.9,9.214,4.642,4.46,1959
4.91,6.919,2.374,4.659,4.894,4.751,1960
6.04,5.865,2.261,9.704,3.106,5.395,1961
2.66,4.129,3.4,2.964,4.623,3.555,1962
7.517,0.461,4.219,0.157,1.352,2.741,1963
5.703,13.871,5.245,0.962,0.894,5.335,1964
8.563,1.855,5.445,5.411,2.035,4.662,1965
7.71,6.494,11.497,0.679,5.619,6.4,1966
3.287,3.748,7.281,NaN,3.98,NaN,1967
4.507,11.245,10.432,11.693,1.223,7.82,1968
1.953,12.365,23.635,2.514,2.468,8.587,1969
14.663,8.09,4.248,0.375,6.242,6.724,1970
4.467,3.635,3.677,2.7,2.726,3.441,1971
6.53,5.016,10.006,7.952,3.261,6.553,1972
12.09,5.758,10.061,3.975,8.213,8.019,1973
1.55,5.035,2.803,11.1,11.632,6.424,1974
1.147,2.255,0.313,5.136,2.319,2.234,1975
0.917,0.313,2.458,1.576,2.055,1.464,1976
3.43,8.19,12.771,5.682,10.065,8.028,1977
2.467,0.139,8.384,9.307,4.358,4.931,1978
5.223,6.377,2.674,9.489,NaN,NaN,1979
0.907,5.313,7.613,4.283,6.458,4.915,1980
11.24,10.539,4.61,4.832,NaN,NaN,1981
5.29,5.942,7.677,13.468,14.316,9.339,1982
8.12,12.755,0.287,NaN,3.16,NaN,1983
8.91,2,0.984,2.803,2.677,3.475,1984
3.287,3,7.094,11.2,8.045,6.525,1985
0.297,1.677,5.165,4.475,5.197,3.362,1986
2.99,7.435,5.942,0.064,0.487,3.384,1987
8.567,3.016,1.752,1.697,8.287,4.664,1988
1.017,0,6.677,1.243,1.968,2.181,1989
0.567,0.461,0.729,3.604,7.919,2.656,1990
1.077,4.094,2.484,9.164,2.842,3.932,1991
0.783,8.497,8.506,6.59,5.2,5.915,1992
1.287,2.59,2.735,5.814,1.574,2.8,1993
4.247,4.468,18.797,1.5,12.113,8.225,1994
0.223,8.855,7.919,7.707,1.926,5.326,1995
2.543,6.865,5.542,0.714,1.371,3.407,1996
7.667,2.71,11.474,14.339,4.61,8.16,1997
7.867,1.781,2.548,6.946,2.81,4.39,1998
4.67,0.513,6.284,8.346,3.41,4.645,1999
0.833,1.552,4.69,7.183,2.655,3.383,2000
6.253,7.632,2.761,2.557,2.119,4.264,2001
2.04,12.061,5.448,2.046,3.103,4.94,2002
5.27,9.642,2.452,8.961,1.342,5.533,2003
1.457,8.868,3.568,2.79,3.91,4.119,2004
4.097,11.387,5.877,4.029,6.194,6.317,2005
3.293,5.429,0.31,6.686,0.423,3.228,2006
0.407,4.119,8.174,2.861,0.239,3.16,2007
2.39,2.729,0.768,8.528,0.332,2.949,2008
0.57,3.303,7.626,5.925,1.542,3.793,2009
1.91,7.129,1.181,3.957,6.881,4.212,2010
2.217,0.313,4.771,0.971,5.41,2.736,2011
5.733,8.223,0.765,0.51,2.829,3.612,2012
1.457,0.313,0.345,7.329,4.468,2.782,2013
3.143,8.516,0.213,3.068,0.868,3.162,2014
1.167,6.729,11.11,NaN,NaN,NaN,2015
