November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
0.305,4.11,3.558,2.311,2.194,2.496,1941
1.23,2.21,4.839,1.079,3.229,2.517,1942
0.527,1.494,2.052,5.718,1.203,2.199,1943
2.643,1.684,1.181,3.397,1.91,2.163,1944
1.23,3.968,0.461,0.661,1.484,1.561,1945
1.923,1.019,0.387,1.868,1.9,1.419,1946
0.857,0.432,0.313,0.725,2.671,1,1947
0.383,3.965,1.203,1.669,2.929,2.03,1948
0.953,1.584,3.248,2.614,1.461,1.972,1949
4.063,3.729,1.613,1.471,0.542,2.284,1950
2.413,3.865,6.526,1.029,3.39,3.445,1951
1.693,5.816,2.103,0.179,1.01,2.16,1952
1.26,0.452,2.19,3.254,2.477,1.927,1953
2.55,3.616,2.355,0.925,0.361,1.961,1954
1.08,10.361,4.997,1.707,0.084,3.646,1955
0.05,0.142,1.732,3.752,1.623,1.46,1956
0.437,2.448,3.994,7.007,4.606,3.698,1957
0.077,0.629,4.039,3.729,0.439,1.783,1958
0.017,1.116,2.816,3.029,1.174,1.63,1959
3.6,0.713,2.845,1.097,1.655,1.982,1960
2.65,2.026,0.819,7.954,1.384,2.967,1961
0.33,1.51,3.861,1.904,3.484,2.218,1962
3.687,0.371,3.139,0.139,0.977,1.663,1963
2.283,4.942,2.465,0.359,1.21,2.252,1964
2.477,2,1.565,1.418,0.116,1.515,1965
4.853,2.894,6.9,0.371,3.203,3.644,1966
1,1.058,3.087,1.932,1.958,1.807,1967
2.11,2.268,6.965,6.128,0.765,3.647,1968
0.51,3.61,6.461,1.436,1.329,2.669,1969
6.273,2.79,0.745,0.511,1.677,2.399,1970
0.733,3.319,0.665,1.164,0.242,1.225,1971
4.357,1.548,5.632,4.952,2.255,3.749,1972
5.313,2.287,2.932,1.243,2.677,2.89,1973
0.56,2.342,0.603,4.171,3.51,2.237,1974
0.247,0.148,0.297,0.746,0.91,0.47,1975
0.467,0.532,0.961,1.024,1.045,0.806,1976
1.623,3.5,7.487,4.05,2.774,3.887,1977
2.707,0.781,4.639,4.129,2.026,2.856,1978
1.253,2.79,4.626,6.461,2.055,3.437,1979
0.107,1.468,3.735,0.762,2.913,1.797,1980
5.334,2.69,4.51,2.136,5.839,4.102,1981
4.86,2.661,4.035,5.054,5.532,4.428,1982
4.17,4.31,0.135,1.111,0.687,2.083,1983
3.057,1.01,0.542,1.331,1.648,1.518,1984
3.15,1.916,3.01,7.804,2.623,3.701,1985
0.12,0.626,1.881,2.932,2.5,1.612,1986
2.143,2.665,2.452,0.264,0.716,1.648,1987
1.427,2.242,0.584,1.521,4.752,2.105,1988
1.12,0,4.077,2.639,0.765,1.72,1989
0.363,1.313,0.297,2.811,5.039,1.965,1990
0.16,1.31,1.139,4.95,1.69,1.85,1991
0.237,4.048,7.065,4.328,1.958,3.527,1992
1.823,1.435,1.735,2.857,0.042,1.578,1993
0.72,2.2,7.223,0.179,6.661,3.397,1994
0,4.503,3.413,4.946,1.448,2.862,1995
1.67,5.235,7.413,0.245,0.281,2.969,1996
3.87,2.384,5.242,9.029,2.023,4.51,1997
2.407,0.474,2.161,4.032,1.229,2.061,1998
1.38,0.048,5.319,7.332,1.997,3.215,1999
0.573,0.484,3.071,4.028,1.658,1.963,2000
2.057,5.135,1.797,1.025,2.352,2.473,2001
1.983,5.129,1.068,1.175,1.532,2.177,2002
1.283,3.461,1.729,4.546,0.394,2.283,2003
2.277,3.39,3.132,2.234,2.526,2.712,2004
0.72,7.361,2.074,1.896,4.335,3.277,2005
0.95,2.468,0.042,4.029,0.287,1.555,2006
0.72,2.597,5.465,1.639,0.042,2.093,2007
2.017,1.239,1.155,5.007,1.19,2.122,2008
0.223,2.99,3.929,2.079,2.448,2.334,2009
2.027,4.548,1.368,3.079,5.7,3.344,2010
0.623,0.223,1.99,0.5,3.358,1.339,2011
3.36,5.035,0.787,0.314,1.129,2.125,2012
0.747,0.355,0.123,3.754,1.452,1.286,2013
1.06,7.048,0,2.557,0.181,2.169,2014
1.333,1.439,4.766,NaN,NaN,NaN,2015
