year,meanFogStart
1948,8.5
1949,7.25
1950,6.96774193548387
1951,5
1952,8.75
1953,7.38888888888889
1954,9.37037037037037
1955,6.42857142857143
1956,7.2
1957,8.76
1958,6.55555555555556
1959,10.2
1960,7.38461538461539
1961,6.5
1962,6.79310344827586
1963,9.25581395348837
1964,9.47826086956522
1965,10
1966,7.92307692307692
1967,9.14285714285714
1968,9.91428571428571
1969,9.5
1970,8.8
1971,9.5
1972,8.66666666666667
1973,4.1
1974,9.52631578947368
1975,6.93333333333333
1976,8.5
1977,7.72222222222222
1978,12.4
1979,9.0625
1980,8.06451612903226
1981,9
1982,6.72
1983,6.42857142857143
1984,6.61111111111111
1985,8.73529411764706
1986,NaN
1987,NaN
1988,9.09090909090909
1989,11.25
1990,7
1991,9.8
1992,6.36363636363636
1993,14.2727272727273
1994,14.2857142857143
1995,9.1
1996,6
1997,6
1998,16
1999,9
2000,6.06666666666667
2001,7
2002,9.17647058823529
2003,8
2004,9.6
2005,16
2006,6.33333333333333
2007,7
2008,10.5454545454545
2009,7.26666666666667
2010,11.4615384615385
2011,16
2012,7.33333333333333
2013,4
2014,6.875
2015,NaN
2016,NaN
