year,meanFogStart
1948,10
1949,8.08333333333333
1950,7.78125
1951,9.5
1952,8.69230769230769
1953,8.57894736842105
1954,12.1071428571429
1955,8.28571428571429
1956,7.8
1957,11.1923076923077
1958,9.77777777777778
1959,14.2
1960,10.6829268292683
1961,11.8421052631579
1962,11.2068965517241
1963,11.5681818181818
1964,9.80434782608696
1965,10
1966,7.92307692307692
1967,9.14285714285714
1968,9.91428571428571
1969,9.5
1970,8.8
1971,9.5
1972,8.57142857142857
1973,9.7
1974,13.85
1975,11.1333333333333
1976,13.1304347826087
1977,6.5
1978,16
1979,12.75
1980,12.625
1981,9
1982,12
1983,12.5714285714286
1984,12.5555555555556
1985,12.6176470588235
1986,NaN
1987,NaN
1988,8.83333333333333
1989,12.8823529411765
1990,7.11111111111111
1991,9.13636363636364
1992,10.9166666666667
1993,12.9090909090909
1994,13.7142857142857
1995,8.65
1996,6
1997,6
1998,16
1999,8.16666666666667
2000,8.9375
2001,11.5
2002,10.0555555555556
2003,9
2004,9.8
2005,15.5
2006,5.66666666666667
2007,6
2008,10.5454545454545
2009,7.13333333333333
2010,11
2011,15.5
2012,6.66666666666667
2013,4
2014,8.22222222222222
2015,NaN
2016,NaN
