year,meanFogStart
1944,5.5
1945,NaN
1946,NaN
1947,NaN
1948,NaN
1949,NaN
1950,NaN
1951,NaN
1952,NaN
1953,NaN
1954,NaN
1955,NaN
1956,NaN
1957,NaN
1958,NaN
1959,NaN
1960,NaN
1961,NaN
1962,NaN
1963,NaN
1964,NaN
1965,NaN
1966,NaN
1967,NaN
1968,NaN
1969,NaN
1970,NaN
1971,NaN
1972,7.6
1973,9
1974,11
1975,12.1176470588235
1976,13.0833333333333
1977,13.2857142857143
1978,15.4444444444444
1979,15.4
1980,13.3548387096774
1981,10.375
1982,9.75
1983,14
1984,10.1875
1985,12.6111111111111
1986,7.46666666666667
1987,10.2857142857143
1988,6.9
1989,6.64285714285714
1990,7.6
1991,9.33333333333333
1992,11.4285714285714
1993,8
1994,6.63636363636364
1995,9.6875
1996,9.68181818181818
1997,7.33333333333333
1998,7.5
1999,6.875
2000,7.82352941176471
2001,9.6
2002,7.73684210526316
2003,4.77777777777778
2004,8.22727272727273
2005,12.4
2006,6.2
2007,4
2008,7.25
2009,9.07142857142857
2010,8.16666666666667
2011,3.5
2012,13
2013,12
2014,6.11111111111111
2015,4
2016,NaN
