November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
1019.94,1018.638,1019.369,1019.393,1018.545,1019.177,1959
1018.433,1023.247,1022.616,1022.453,1016.613,1020.672,1960
1017.56,1020.393,1022.865,1015.159,1017.173,1018.63,1961
1019.593,1021.253,1020.768,1019.62,1017.386,1019.724,1962
1018.142,1023.567,1021.536,1020.71,1016.733,1020.138,1963
1018.902,1017.598,1020.562,1019.254,1015.601,1018.383,1964
1015.775,1016.714,1019.812,1019.257,1018.396,1017.991,1965
1017.06,1019.323,1020.664,1022.141,1016.281,1019.094,1966
1016.13,1019.528,1020.515,1018.374,1018.044,1018.518,1967
1019.889,1019.61,1014.906,1012.878,1018.92,1017.241,1968
1018.479,1019.014,1019.852,1019.356,1016.781,1018.696,1969
1016.959,1018.275,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,1019.2,1015.859,1014.44,NaN,1972
1016.938,1021.397,NaN,NaN,NaN,NaN,1973
1019.212,1022.301,1021.678,1018.433,NaN,NaN,1974
1019.812,1022.329,1023.471,1018.954,1017.45,1020.403,1975
1019.195,1019.473,1020.227,1021.859,1017.86,1019.723,1976
1019.281,1018.031,1016.673,1015.67,1014.502,1016.831,1977
1017.6,1021.131,1017.119,1018.788,1016.199,1018.167,1978
1020.011,1020.446,1016.017,1015.068,1016.51,1017.61,1979
1020.902,1021.28,1018.708,1019.023,1016.93,1019.369,1980
1017.859,1020.483,1020.574,1019.999,1015.179,1018.819,1981
1016.023,1019.337,1018.387,1014.176,1012.822,1016.149,1982
1016.365,1018.548,1022.786,1020.675,1017.696,1019.214,1983
1017.845,1017.604,1022.515,1019.097,1018.181,1019.048,1984
1016.581,1023.429,1020.61,1016.071,1016.421,1018.622,1985
1019.894,1020.974,1021.517,1017.44,1016.584,1019.282,1986
1019.931,1020.185,1021.863,1021.272,1020.525,1020.755,1987
1019.501,1021.698,1022.885,1020.872,1017.702,1020.532,1988
1018.878,1022.276,1019.782,1020.685,1016.932,1019.711,1989
NaN,NaN,1021.656,1018.375,1013.679,NaN,1990
1020.082,1019.363,1020.809,1016.194,1014.038,1018.097,1991
1019.543,1017.265,1016.063,1015.568,1018.53,1017.394,1992
1018.693,1021.227,1021.905,1017.525,1017.553,1019.381,1993
1019.41,1020.196,1014.58,1018.861,1015.019,1017.613,1994
1019.058,1019.269,1019.241,1016.453,1017.203,1018.245,1995
1018.479,1018.125,1019.146,1020.206,1018.619,1018.915,1996
1015.706,1020.693,1017.533,1012.703,1014.856,1016.298,1997
1019.167,1024.292,1020.52,1021.696,1016.418,1020.419,1998
1019.039,NaN,1022.053,1017.255,1017.543,NaN,1999
1019.083,NaN,1020.276,NaN,NaN,NaN,2000
1017.814,1019.557,1022.81,1022.491,1018.687,1020.272,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
1018.452,1022.759,1018.458,1019.849,1020.594,1020.022,2007
1019.725,1019.637,1023.606,1017.095,1017.931,1019.599,2008
1018.269,1018.492,1015.391,1015.595,1017.066,1016.963,2009
1019.37,1016.449,1022.181,1019.032,1017.481,1018.903,2010
1019.004,1022.6,1022.051,1018.981,1016.929,1019.913,2011
NaN,NaN,NaN,NaN,1023.78,NaN,2012
1025.171,1029.153,1028.578,1024.542,1024.804,NaN,2013
1026.617,1026.21,1029.876,1024.318,1020.685,NaN,2014
1018.708,1019.7,1018.634,1021.454,1016.595,1019.018,2015
