November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,1009.346,1017.312,NaN,1941
NaN,NaN,1018.557,1020.223,1016.712,NaN,1942
1019.159,1018.721,1020.344,1016.071,1017.851,1018.429,1943
1016.125,1020.292,1021.45,1018.003,1017.202,1018.614,1944
1020.035,1020.28,1024.032,1020.806,1016.785,1020.388,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,1020.625,1020.658,1019.773,1016.882,NaN,1947
1020.887,1020.219,1020.58,1019.941,1016.495,1019.624,1948
1019.706,1019.781,1020.942,1020.137,1019.711,1020.055,1949
1018.804,1019.83,1021.171,1019.082,1017.602,1019.298,1950
1017.981,1020.154,1020.784,1021.596,1015.715,1019.246,1951
1017.171,1019.902,1023.617,1021.374,1018.58,1020.129,1952
1018.854,1023.838,1018.964,1020.777,1015.667,1019.62,1953
1020.394,1022.869,1021.072,1021.551,1019.022,1020.982,1954
1018.667,1018.897,1018.354,1020.175,1020.634,1019.345,1955
1022.015,1023.337,1019.28,1017.396,1017.669,1019.939,1956
1019.763,1021.618,1021.023,1015.513,1012.819,1018.147,1957
1018.64,1021.743,1019.818,1017.406,1019.761,1019.474,1958
1019.9,1018.642,1019.708,1019.904,1018.425,1019.316,1959
1018.869,1022.969,1022.324,1021.988,1016.329,1020.496,1960
1017.247,1019.791,1022.381,1015.271,1017.056,1018.349,1961
1018.801,1020.443,1020.173,1019.156,1017.13,1019.141,1962
1018.258,1023.564,1022.214,1020.486,1017.169,1020.338,1963
1019.555,1020.183,1022.208,1019.999,1016.937,1019.776,1964
1016.38,1017.465,1020.327,1019.412,1018.442,1018.405,1965
1017.422,1019.768,1021.417,1022.263,1016.965,1019.567,1966
1016.147,1019.391,1020.952,1018.427,1017.999,1018.583,1967
1019.902,1020.035,1016.062,1013.913,1018.989,1017.78,1968
1018.361,1019.186,1020.592,1019.16,1016.191,1018.698,1969
1017.795,1019.321,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,1020.115,1016.346,1015.026,NaN,1972
1017.77,1021.849,NaN,NaN,NaN,NaN,1973
1018.831,1021.822,1021.736,1018.751,NaN,NaN,1974
1019.491,1022.056,1023.15,1018.889,1017.319,1020.181,1975
1019.238,1019.318,1020.297,1021.877,1017.673,1019.681,1976
1019.149,1018.208,1017.338,1016.31,1014.82,1017.165,1977
1017.935,1020.983,1017.5,1019.687,1016.656,1018.552,1978
1019.948,1020.578,1016.509,1015.505,1016.496,1017.807,1979
1020.544,1021.294,1018.831,1019.122,1017.196,1019.397,1980
1017.696,1020.526,1020.539,1019.627,1015.3,1018.738,1981
1016.412,1019.829,1019.229,1015.475,1013.784,1016.946,1982
1017.102,1019.466,1022.893,1021.056,1018.034,1019.71,1983
1018.679,1017.619,1022.566,1018.917,1018.208,1019.198,1984
1016.888,1023.656,1020.976,1017.368,1016.898,1019.157,1985
1019.798,1021.072,1021.021,1017.036,1016.364,1019.058,1986
1019.603,1019.632,1021.687,1020.482,1019.769,1020.235,1987
1019.842,1021.916,1023.307,1021.194,1018.252,1020.902,1988
1019.285,1022.832,1020.981,1021.618,1017.97,1020.537,1989
NaN,NaN,1021.671,1018.592,1014.872,NaN,1990
1019.61,1019.071,1020.885,1016.467,1014.058,1018.018,1991
1020.107,1018.714,1016.421,1015.6,1018.714,1017.911,1992
NaN,NaN,NaN,1017.606,1017.451,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,2014
NaN,NaN,NaN,NaN,NaN,NaN,2015
