November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
1018.64,1022.118,1019.381,1020.654,1017.508,1019.66,1942
1019.441,1018.909,1020.649,1016.566,1018.031,1018.719,1943
1016.47,1020.485,1021.033,1017.419,1015.983,1018.278,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
1019.582,1019.733,1021.072,1020.276,1019.593,1020.051,1949
1018.965,1020.438,1021.796,1019.258,1017.596,1019.611,1950
1018.448,1020.278,1020.708,1021.06,1016.147,1019.328,1951
1016.85,1019.875,1023.367,1020.916,1018.228,1019.847,1952
1019.214,1023.959,1019.212,1021.242,1016.035,1019.932,1953
1020.529,1023.047,1021.194,1021.661,1018.856,1021.057,1954
1019.07,1019.847,1018.95,1020.613,1020.611,1019.818,1955
1022.48,1023.746,1019.917,1018.028,1017.906,1020.415,1956
1019.88,1021.786,1021.307,1016.064,1013.14,1018.435,1957
1018.805,1021.972,1020.325,1017.933,1019.719,1019.751,1958
1020.18,1018.806,1020.092,1020.268,1018.411,1019.551,1959
1019.293,1023.269,1022.655,1022.6,1016.942,1020.952,1960
1017.555,1020.233,1022.668,1016.102,1017.39,1018.79,1961
1018.962,1020.646,1020.632,1019.437,1017.282,1019.392,1962
1018.703,1023.771,1022.648,1020.573,1017.201,1020.579,1963
1019.906,1020.173,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,1022.69,1020.577,1018.275,NaN,1971
1018.92,1022.184,1020.708,1017.172,1015.241,1018.845,1972
1018.445,1022.321,1019.155,1022.25,1016.557,1019.746,1973
1019.537,1022.532,1022.377,1019.731,1016.011,1020.038,1974
1020.094,1022.625,1023.7,1019.654,1017.948,1020.804,1975
1019.814,1019.829,1020.754,1022.195,1018.116,1020.142,1976
1019.853,1019.127,1018.469,1017.134,1015.651,1018.047,1977
1018.53,1021.299,1018.233,1020.383,1017.215,1019.132,1978
1020.436,1021.336,1017.336,1016.586,1017.057,1018.55,1979
1021.11,1022.045,1019.773,1019.554,1017.615,1020.019,1980
1018.386,1021.107,1021.103,1020.022,1016,1019.324,1981
1016.73,1019.904,1019.564,1016.123,1014.304,1017.325,1982
1017.559,1020.045,1022.992,1021.243,1018.131,1019.994,1983
1019.263,1017.929,1022.871,1019.689,1018.9,1019.73,1984
1017.595,1023.952,1021.425,1018.415,1017.463,1019.77,1985
1019.777,1021.019,1021.399,1017.785,1017.077,1019.411,1986
1020.412,1020.587,1022.482,1021.173,1020.325,1020.996,1987
1020.354,1022.477,1023.904,1021.796,1018.974,1021.501,1988
1019.349,1022.797,1021.214,1021.672,1017.883,1020.583,1989
1020.314,1021.988,1022.154,1019.038,1015.74,1019.847,1990
1019.74,1019.301,1021.158,1016.997,1014.303,1018.3,1991
1020.383,1019.387,1017.017,1016.278,1018.888,1018.391,1992
1019.232,1022.394,1022.864,1018.626,1017.843,1020.192,1993
1019.748,1020.412,1017.154,1019.317,1016.511,1018.628,1994
1019.048,1020.366,1019.963,1017.309,1017.055,1018.748,1995
1018.991,1019.937,1019.99,1019.76,1018.396,1019.415,1996
1015.805,1020.738,1017.828,1014.346,1015.038,1016.751,1997
1019.08,1024.581,1022.038,1022.643,1016.621,1020.993,1998
1019.977,1024.365,1022.385,1018.325,1017.467,1020.504,1999
1020.091,1022.174,1020.847,1017.493,1016.047,1019.33,2000
1018.302,1020.843,1022.797,1022.273,1018.604,1020.564,2001
1019.729,1020.186,1023.211,1016.613,1017.679,1019.484,2002
1019.336,1020.221,1021.437,1018.998,1017.394,1019.477,2003
1020.273,1020.927,1019.537,1016.501,1017.708,1018.989,2004
1019.586,1020.938,1022.386,1019.768,1016.521,1019.84,2005
1019.707,1023.33,1022.46,1019.782,1018.542,1020.764,2006
1018.262,1022.82,1019.562,1019.705,1020.458,1020.161,2007
1019.783,1020.37,1023.703,1018.302,1018.021,1020.036,2008
1018.115,1018.748,1016.497,1016.27,1017.919,1017.51,2009
1020.034,1017.751,1022.349,1019.714,1018.606,1019.691,2010
1018.855,1022.406,1022.578,1018.98,1017.593,1020.082,2011
1019.083,1018.851,1022.687,1020.933,1017.231,1019.757,2012
1017.298,1021.788,1021.328,1017.604,1017.285,1019.061,2013
1019.405,1019.272,1022.362,1018.033,1018.211,1019.457,2014
1018.704,1020.748,1019.8,1021.831,1017.104,1019.637,2015
