November,December,January,February,March,year
0,0,0,0,45.1612903225806,1940
100,96.7741935483871,100,96.4285714285714,100,1941
100,100,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,100,100,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
0,0,0,0,0,1959
0,0,0,0,0,1960
0,0,0,0,0,1961
0,0,0,0,0,1962
0,0,0,0,0,1963
0,0,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,96.7741935483871,100,100,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
0,6.45161290322581,3.2258064516129,3.57142857142857,96.7741935483871,1978
100,100,90.3225806451613,96.4285714285714,93.5483870967742,1979
93.3333333333333,96.7741935483871,100,96.551724137931,100,1980
100,93.5483870967742,32.258064516129,28.5714285714286,54.8387096774194,1981
83.3333333333333,100,93.5483870967742,96.4285714285714,96.7741935483871,1982
93.3333333333333,93.5483870967742,93.5483870967742,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
83.3333333333333,93.5483870967742,0,0,0,1986
100,90.3225806451613,0,0,90.3225806451613,1987
96.6666666666667,96.7741935483871,96.7741935483871,3.44827586206897,93.5483870967742,1988
0,96.7741935483871,96.7741935483871,96.4285714285714,93.5483870967742,1989
0,0,0,0,0,1990
0,0,0,0,0,1991
0,0,0,0,0,1992
0,0,0,0,0,1993
0,0,0,0,0,1994
0,0,0,0,0,1995
100,100,100,100,100,1996
100,100,100,100,100,1997
100,100,100,100,100,1998
100,100,100,100,100,1999
100,100,100,100,96.7741935483871,2000
100,100,100,100,100,2001
100,100,100,100,100,2002
100,100,90.3225806451613,96.4285714285714,100,2003
100,100,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
100,100,100,100,96.7741935483871,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,100,100,100,96.7741935483871,2010
100,100,100,100,96.7741935483871,2011
100,100,100,100,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
100,100,100,100,96.7741935483871,2015
