November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
1019.782,1019.392,1020.687,1016.351,1018.708,1018.984,1943
1016.241,1020.542,1021.886,1018.244,1017.464,1018.875,1944
1019.126,1018.879,1023.194,1020.242,1016.415,1019.571,1945
1018.002,1019.548,1022.795,1018.527,1016.81,1019.136,1946
1019.378,1021.071,1021.062,1020.373,1017.005,1019.778,1947
1020.983,1019.73,1020.774,1019.325,1016.02,1019.366,1948
1019.13,1019.406,1019.883,1019.743,1019.299,1019.492,1949
1017.895,1019.875,1020.842,1018.749,1017.553,1018.983,1950
1017.525,1019.158,1019.05,1020.364,1015.063,1018.232,1951
1017.172,1019.009,1023.15,1022.038,1018.619,1019.998,1952
1019.258,1024.19,1018.986,1021.039,1016.011,1019.897,1953
1020.264,1022.7,1020.917,1021.781,1019.292,1020.991,1954
1018.808,1017.979,1018.042,1019.868,1021.227,1019.185,1955
1022.501,1023.562,1019.369,1017.449,1017.981,1020.172,1956
1020.141,1021.786,1020.969,1015.081,1012.559,1018.107,1957
1018.7,1021.575,1019.494,1016.938,1020.07,1019.355,1958
1020.541,1019.208,1019.915,1019.878,1018.978,1019.704,1959
1018.948,1023.31,1022.684,1022.98,1017.286,1021.042,1960
1017.886,1020.722,1023.213,1015.613,1017.796,1019.046,1961
1019.568,1021.232,1020.78,1019.754,1017.751,1019.817,1962
1018.67,1024.223,1022.542,1021.444,1017.956,1020.967,1963
1019.26,1018.457,1020.965,1019.592,1016.015,1018.858,1964
1015.923,1017.074,1019.986,1019.393,1018.677,1018.211,1965
1017.046,1019.458,1020.827,1022.149,1016.635,1019.223,1966
1016.231,1019.665,1020.774,1018.592,1018.33,1018.718,1967
1020.092,1019.893,1015.435,1013.197,1019.296,1017.583,1968
1018.632,1019.071,1019.816,1019.19,1016.783,1018.698,1969
1017.153,1018.51,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,1019.403,1015.862,1014.979,NaN,1972
1017.366,1021.795,NaN,NaN,NaN,NaN,1973
1019.323,1022.291,1021.929,1018.655,NaN,NaN,1974
1019.909,1022.646,1023.365,1018.892,1017.505,1020.463,1975
1018.87,1019.297,1020.17,1021.861,1018.035,1019.647,1976
1019.28,1017.886,1016.704,1015.878,1014.752,1016.9,1977
1017.917,1021.416,1017.418,1019.311,1016.816,1018.576,1978
1020.297,1020.402,1016.149,1014.93,1016.71,1017.698,1979
1021.005,1021.352,1018.724,1019.127,1017.177,1019.477,1980
1017.311,1020.248,1020.366,1019.82,1014.876,1018.524,1981
1015.96,1019.55,1018.43,1014.306,1013.015,1016.252,1982
1016.525,1018.653,1022.831,1020.956,1018.22,1019.437,1983
1018.29,1017.927,1022.885,1019.559,1018.787,1019.49,1984
1017.007,1023.657,1020.874,1016.404,1016.69,1018.926,1985
1019.65,1020.596,1021,1017.092,1016.372,1018.942,1986
1019.452,1019.569,1021.465,1020.756,1020.32,1020.312,1987
1019.248,1021.295,1023.113,1021.236,1018.196,1020.618,1988
1018.769,1022.286,1020.147,1021.098,1017.565,1019.973,1989
1020.32,1021.635,1021.817,1018.622,1014.098,1019.298,1990
1019.926,1018.957,1020.55,1015.874,1013.867,1017.835,1991
1020.029,1017.446,1015.472,1014.136,1018.149,1017.046,1992
1018.828,1021.618,1022.461,1017.518,1017.706,1019.626,1993
1019.585,1020.282,1015.038,1019.134,1015.397,1017.887,1994
1019.575,1020.258,1019.617,1016.72,1017.324,1018.699,1995
1018.908,1017.825,1019.374,1020.609,1018.738,1019.091,1996
1014.961,1019.915,1016.226,1012.307,1015.173,1015.716,1997
1018.777,1024.921,1021.294,1022.796,1017.026,1020.963,1998
1020.094,1025.456,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,1019.208,1016.486,1017.456,NaN,2004
1019.828,1020.161,1021.957,1019.616,1015.67,1019.446,2005
1019.954,1022.89,1022.661,1019.343,1018.829,1020.735,2006
1018.81,1022.953,1018.416,1019.155,1021.36,1020.139,2007
1019.784,1019.789,1023.659,1017.143,1018.352,1019.745,2008
1018.363,1018.578,1015.377,1015.623,1017.97,1017.182,2009
1019.729,1016.926,1022.01,1019.266,1017.725,1019.131,2010
1018.802,1022.589,1022.167,1018.692,1017.081,1019.866,2011
1017.927,1018.123,1023.224,1021.089,1017.994,1019.671,2012
1017.927,1022.251,1021.466,1017.22,1017.883,1019.349,2013
1020.064,1019.279,1022.584,1017.611,1018.513,1019.61,2014
1019.045,1020.237,1019.003,1021.806,1016.643,1019.347,2015
