Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,NaN,NaN,NaN
1943,NaN,NaN,NaN
1944,NaN,NaN,NaN
1945,NaN,NaN,NaN
1946,NaN,NaN,NaN
1947,175,34,99.9177631578947
1948,90,23,99.9724061810154
1949,189,32,99.69646799117
1950,203,30,100
1951,155,30,99.890350877193
1952,172,24,100
1953,166,35,100
1954,212,43,99.8068432671082
1955,104,21,99.9451754385965
1956,151,29,100
1957,171,31,100
1958,84,15,99.9448123620309
1959,65,12,99.9725877192982
1960,326,47,99.5584988962472
1961,299,35,100
1962,477,50,100
1963,259,44,100
1964,82,30,60.2649006622517
1965,55,25,33.3333333333333
1966,37,19,33.3333333333333
1967,56,26,33.3333333333333
1968,53,20,33.3333333333333
1969,42,20,33.3333333333333
1970,84,29,33.3333333333333
1971,76,28,33.3333333333333
1972,85,27,72.1578366445916
1973,132,28,97.9028697571744
1974,275,35,98.537527593819
1975,173,28,97.4232456140351
1976,134,25,97.1302428256071
1977,191,29,97.3509933774834
1978,106,26,97.682119205298
1979,207,36,96.5460526315789
1980,147,30,98.6203090507726
1981,129,24,98.4823399558499
1982,194,39,98.4271523178808
1983,128,23,96.1622807017544
1984,196,35,95.5849889624724
1985,316,48,97.5993377483444
1986,124,25,96.2472406181015
1987,72,22,96.2171052631579
1988,122,25,98.1512141280353
1989,245,43,97.8476821192053
1990,148,27,99.1997792494481
1991,129,28,98.4649122807018
1992,70,20,98.4271523178808
1993,112,28,86.1479028697572
1994,106,25,95.916114790287
1995,180,28,97.8618421052632
1996,53,13,99.5860927152318
1997,94,27,97.3509933774834
1998,123,25,98.4823399558499
1999,37,16,98.5197368421053
2000,151,34,99.0894039735099
2001,80,18,99.39293598234
2002,148,36,97.7097130242826
2003,92,23,98.6019736842105
2004,142,29,99.69646799117
2005,35,11,99.5309050772627
2006,20,8,99.8896247240618
2007,10,6,99.890350877193
2008,53,13,100
2009,29,15,100
2010,33,11,100
2011,21,10,99.9451754385965
2012,5,4,99.9724061810154
2013,5,2,99.9172185430464
2014,25,11,100
2015,6,4,99.9177631578947
