Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,216,43,48.5099337748344
1942,304,44,58.8576158940397
1943,119,34,51.0690789473684
1944,278,42,43.8465783664459
1945,228,39,99.9724061810154
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,121,22,99.8344370860927
1949,267,48,100
1950,195,35,99.9724061810154
1951,155,32,99.9451754385965
1952,200,31,99.9724061810154
1953,242,45,99.9172185430464
1954,152,25,40.3421633554084
1955,NaN,NaN,NaN
1956,NaN,NaN,NaN
1957,NaN,NaN,NaN
1958,NaN,NaN,NaN
1959,NaN,NaN,NaN
1960,NaN,NaN,NaN
1961,NaN,NaN,NaN
1962,1,1,20.5298013245033
1963,384,52,100
1964,115,34,60.2649006622517
1965,78,33,33.3333333333333
1966,65,33,33.3333333333333
1967,104,45,33.3333333333333
1968,77,31,33.2229580573951
1969,75,32,33.2229580573951
1970,105,36,33.2505518763797
1971,118,43,33.1962719298246
1972,179,42,71.7163355408389
1973,216,43,98.2064017660044
1974,344,40,99.144591611479
1975,203,34,99.9451754385965
1976,171,35,99.8896247240618
1977,261,46,98.4547461368653
1978,169,35,85.0993377483444
1979,347,52,96.5460526315789
1980,197,39,99.0894039735099
1981,193,39,92.991169977925
1982,269,49,96.3024282560706
1983,201,34,96.9024122807018
1984,275,44,97.5441501103753
1985,426,50,96.3576158940397
1986,202,30,95.612582781457
1987,131,30,97.1217105263158
1988,248,39,96.6887417218543
1989,379,56,97.1854304635762
1990,109,23,82.9470198675497
1991,190,36,85.0054824561403
1992,100,25,97.5441501103753
1993,247,36,97.1854304635762
1994,155,29,97.5717439293598
1995,154,30,92.297149122807
1996,85,18,99.9724061810154
1997,186,32,99.8620309050773
1998,193,32,99.9448123620309
1999,132,29,99.7258771929825
2000,272,43,99.6688741721854
2001,176,31,99.5584988962472
2002,250,46,99.448123620309
2003,154,30,99.5888157894737
2004,180,38,99.9172185430464
2005,61,19,99.9724061810154
2006,25,12,99.8896247240618
2007,28,10,99.9725877192982
2008,100,31,100
2009,34,16,99.9448123620309
2010,68,19,99.3101545253863
2011,53,20,99.9725877192982
2012,32,12,99.8896247240618
2013,20,8,99.9724061810154
2014,96,29,99.7792494481236
2015,35,18,99.8081140350877
