November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
3.81,57.404,30.48,44.958,114.808,251.46,1948
18.796,41.656,97.79,40.132,45.72,244.094,1949
106.68,97.282,51.816,54.356,20.32,330.454,1950
42.164,140.97,94.488,35.814,76.962,390.398,1951
28.448,131.064,54.864,1.524,23.114,239.014,1952
20.32,29.464,34.544,41.402,81.28,207.01,1953
54.864,72.644,91.186,20.066,8.382,247.142,1954
43.434,204.47,118.11,17.272,0.254,383.54,1955
0,8.128,53.594,56.642,38.1,156.464,1956
9.398,53.086,83.566,128.778,142.24,417.068,1957
0.508,17.272,88.392,102.108,7.62,215.9,1958
0,22.86,50.546,77.47,17.78,168.656,1959
55.372,12.192,77.724,17.526,36.576,199.39,1960
59.944,28.194,27.686,152.4,25.908,294.132,1961
11.43,42.926,108.966,63.5,72.136,298.958,1962
102.87,1.016,50.546,1.27,20.066,175.768,1963
64.77,135.382,66.548,15.494,55.118,337.312,1964
89.408,76.454,40.64,44.45,4.572,255.524,1965
92.202,98.044,172.72,8.382,72.136,443.484,1966
32.258,33.782,104.14,44.196,68.072,282.448,1967
66.802,111.252,158.496,139.446,21.59,497.586,1968
15.24,61.722,179.324,36.068,65.024,357.378,1969
155.448,91.694,24.13,21.082,47.752,340.106,1970
20.574,97.028,17.526,17.78,1.778,154.686,1971
157.988,60.452,160.274,106.426,80.772,565.912,1972
92.964,98.298,43.942,18.796,65.786,319.786,1973
19.812,54.61,23.622,54.61,78.232,230.886,1974
6.35,3.048,3.556,26.162,21.082,60.198,1975
14.986,16.002,21.082,20.066,24.13,96.266,1976
21.844,62.484,109.982,63.5,141.224,399.034,1977
43.18,14.732,108.966,89.662,29.21,285.75,1978
25.146,44.704,77.724,69.342,28.448,245.364,1979
1.016,30.988,109.22,19.05,76.708,236.982,1980
93.472,43.688,98.298,57.912,182.88,476.25,1981
99.822,66.04,147.32,88.646,129.54,531.368,1982
107.442,87.884,5.588,30.48,15.748,247.142,1983
89.662,42.926,17.018,22.098,55.626,227.33,1984
63.246,43.688,42.926,147.828,92.456,390.144,1985
0.762,17.018,51.562,83.312,72.136,224.79,1986
33.274,61.214,50.038,5.08,7.62,157.226,1987
34.544,57.912,9.398,33.274,48.768,183.896,1988
28.194,0.762,56.642,33.02,21.844,140.462,1989
11.43,23.114,4.318,58.928,135.89,233.68,1990
8.636,19.304,35.306,136.398,33.02,232.664,1991
5.08,88.646,124.714,98.298,81.788,398.526,1992
51.816,25.654,39.624,70.866,4.572,192.532,1993
52.07,29.21,174.752,9.652,124.46,390.144,1994
0,108.966,103.378,101.346,54.102,367.792,1995
65.024,115.316,102.87,7.366,3.048,293.624,1996
95.504,49.276,136.906,208.788,54.864,545.338,1997
58.674,7.62,72.644,71.374,22.098,232.41,1998
43.18,7.62,94.488,120.396,27.686,293.37,1999
5.08,10.16,72.136,59.182,38.608,185.166,2000
50.292,126.746,41.402,16.764,45.212,280.416,2001
62.992,127,13.208,25.4,28.194,256.794,2002
37.592,78.486,44.196,93.218,17.272,270.764,2003
48.006,79.502,75.946,68.326,75.438,347.218,2004
7.112,105.41,83.82,29.464,97.282,323.088,2005
27.432,40.64,12.7,71.374,7.874,160.02,2006
16.51,41.402,133.35,34.798,1.27,227.33,2007
29.464,30.226,51.816,72.644,24.892,209.042,2008
3.048,47.752,85.344,69.342,43.434,248.92,2009
60.452,107.696,19.304,60.452,80.01,327.914,2010
19.05,3.81,37.592,11.684,52.578,124.714,2011
64.516,109.22,32.004,5.334,22.606,233.68,2012
27.686,8.636,5.334,72.898,48.006,162.56,2013
33.02,154.686,0.508,36.576,4.318,229.108,2014
48.514,62.484,124.714,12.192,90.17,338.074,2015
