November,December,January,February,March,average,year
19.163,18.513,16.519,18.462,20.897,18.711,1940
22.231,15.545,15.41,16.8,21.458,18.289,1941
20.227,13.91,15.132,18.461,19.916,17.529,1942
22.337,15.719,15.806,15.929,20.777,18.114,1943
18.183,16.31,12.442,17.021,17.671,16.325,1944
20.038,16.194,14.9,17.843,20.703,17.936,1945
17.37,11.942,11.142,17.811,22.677,16.188,1946
18.353,13.416,19.268,17.164,18.794,17.399,1947
20.3,12.61,10.735,15.976,19.539,15.832,1948
23.617,13.6,12.481,18.65,20.474,17.764,1949
22.087,16.145,14.1,18.175,21.91,18.483,1950
21.173,13.784,13.71,17.786,16.958,16.682,1951
18.793,14.768,16.355,17.728,21.452,17.819,1952
19.633,15.481,15.329,17.461,19.377,17.456,1953
18.07,12.761,11.739,16.743,21.529,16.168,1954
19.013,15.49,15.674,15.214,21.49,17.376,1955
22.223,14.916,12.635,17.648,21.145,17.713,1956
19.127,13.59,14.435,19.321,17.755,16.846,1957
20.213,18.606,16.171,16.846,22.906,18.948,1958
22.367,16.216,15.026,16.407,22.097,18.423,1959
17.82,12.555,11.926,19.114,19.145,16.112,1960
18.917,11.381,11.342,13.964,18.029,14.727,1961
20.153,16.5,13.971,20.2,19.635,18.092,1962
17.957,9.181,13.674,18.411,19.239,15.692,1963
16.497,15.265,13.055,16.762,20.065,16.329,1964
18.677,9.426,13.6,15.35,21.161,15.643,1965
19.65,11.194,13.755,15.157,19.529,15.857,1966
21.123,12.474,14.032,19.521,21.852,17.8,1967
17.783,13.542,12.458,15.128,20.658,15.914,1968
21.88,17.023,17.997,20.007,21.5,19.681,1969
21.093,13.639,13.194,15.786,21.187,16.98,1970
18.373,12.119,9.481,18.879,23.81,16.532,1971
15.373,10.326,13.706,19.39,17.826,15.324,1972
19.923,14.268,15.768,18.771,21.113,17.969,1973
19.493,12.332,14.155,18.257,19.671,16.782,1974
19.11,14.455,16.31,17.914,19.89,17.536,1975
20.747,18.552,11.439,20.245,19.581,18.113,1976
21.647,18.913,17.081,18.154,22.013,19.562,1977
20.463,12.439,15.755,16.607,19.645,16.982,1978
21.697,19.19,15.503,18,18.632,18.604,1979
21.76,15.819,16.119,17.862,19.139,18.14,1980
21.093,15.035,12.319,18.186,19.332,17.193,1981
15.983,12.974,11,17.257,18.294,15.102,1982
19.78,15.445,13.639,17.575,21.774,17.643,1983
18.577,12.661,10.545,18.197,18.442,15.684,1984
17.097,9.781,16.571,18.075,21.332,16.571,1985
20.77,12.784,12.452,17.575,20.348,16.786,1986
17.453,13.994,14.787,20.586,23.271,18.018,1987
19.163,14.5,13.794,16.538,23.045,17.408,1988
21.547,13.684,14.716,16.064,22.048,17.612,1989
19.613,12.603,14.661,21.711,17.219,17.161,1990
20.243,14.777,10.571,19.361,20.826,17.156,1991
19.81,12.923,13.803,17.569,22.703,17.362,1992
20.37,13.503,15.3,17.304,22.945,17.884,1993
15.093,12.584,16.719,17.296,19.916,16.322,1994
22.55,16.287,14.242,18.311,21.916,18.661,1995
18.403,14.661,14.229,16.193,23.832,17.464,1996
19.517,12.974,15.094,14.964,19.177,16.345,1997
17.3,12.565,12.181,16.064,17.903,15.203,1998
20.34,15.413,15.913,17.936,18.752,17.671,1999
15.827,15.106,14.439,15.455,21.374,16.44,2000
19.867,13.848,11.955,18.704,20.59,16.993,2001
19.747,15.848,15.161,16.211,21.797,17.753,2002
18.023,16.771,13.39,17.368,25.532,18.217,2003
16.597,13.339,12.848,17.376,20.968,16.226,2004
21.22,16.523,15.506,19.371,16.813,17.887,2005
18.29,15.174,13.4,17.639,23.835,17.668,2006
20.077,13.384,14.229,16.943,21.377,17.202,2007
19.56,11.523,15.432,19.331,22.277,17.625,2008
19.683,14.032,14.168,16.807,20.245,16.987,2009
18.973,16.077,12.716,16.889,19.516,16.834,2010
17.52,14.935,18.458,19.389,21.432,18.347,2011
21.187,15.174,14.865,17.931,22.919,18.415,2012
21.04,15.671,19.719,19.921,23.742,20.019,2013
21.037,16.777,14.99,22,25.671,20.095,2014
18.33,14.519,16.334,NaN,NaN,NaN,2015
