November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,19.035,16.743,18.516,NaN,1947
20.2,11.316,10.639,15.093,18.661,15.182,1948
22.25,12.406,11.094,17.486,19.055,16.458,1949
20.477,13.977,12.048,16.489,19.906,16.579,1950
20.593,12.432,12.439,16.35,15.59,15.481,1951
18.87,12.668,15.413,16.476,19.91,16.667,1952
18.417,14.219,14.384,15.293,17.248,15.912,1953
16.623,10.548,9.555,15.389,19.968,14.417,1954
17.473,13.561,12.868,13.85,19.984,15.547,1955
20.79,13.377,10.816,16.107,19.287,16.075,1956
17.537,11.765,12.71,17.193,16.316,15.104,1957
20.297,17.452,14.361,15.818,22.155,18.017,1958
22.11,15.397,14.158,15.207,20.79,17.532,1959
16.573,11.142,10.165,17.414,18.632,14.785,1960
18.747,10.084,10.165,12.914,17.871,13.956,1961
20.197,14.748,12.597,19.125,18.523,17.038,1962
16.01,7.206,11.687,16.793,18.048,13.949,1963
16.51,13.603,11.835,16.666,20.329,15.789,1964
18.297,9.303,12.455,15.061,21.339,15.291,1965
19.96,10.216,12.935,14.604,18.477,15.238,1966
19.963,11.571,12.461,17.821,20.168,16.397,1967
15.777,11.074,9.826,13.21,19.187,13.815,1968
20.183,14.406,14.777,18.032,20.448,17.569,1969
20.277,12.206,12.706,15.039,20.11,16.068,1970
18.073,10.858,8.265,18.157,24.381,15.947,1971
13.82,8.635,12.142,16.031,15.448,13.215,1972
17.317,12.161,13.316,16.439,19.116,15.67,1973
18.317,11.216,11.345,15.596,16.574,14.61,1974
16.687,12.832,14.268,15.557,18.177,15.504,1975
17.427,16.132,9.697,19.176,18.735,16.233,1976
19.48,15.374,14.39,16.096,20.926,17.253,1977
17.663,10.519,12.794,16.475,19.432,15.377,1978
18.73,14.697,13.297,17.357,18.168,16.45,1979
20.14,13.387,13.287,16.09,18.119,16.205,1980
18.33,12.523,9.39,15.904,15.703,14.37,1981
14.983,11.842,10.539,16.257,18.068,14.338,1982
17.387,14.51,12.919,16.432,21.742,16.598,1983
17.3,11.758,9.81,17.762,17.652,14.856,1984
16.42,9.806,16.326,17.904,21.477,16.387,1985
21.487,12.442,12.077,17.357,19.119,16.496,1986
17.11,12.042,12.974,19.807,21.555,16.698,1987
17.983,11.9,12.116,14.879,20.6,15.496,1988
20.46,12.619,13.348,14.993,20.706,16.425,1989
19.403,11.777,14.187,20.479,15.713,16.312,1990
20.003,14.013,9.323,18.375,20.432,16.429,1991
18.757,11.939,12.342,16.269,21.829,16.227,1992
19.237,11.913,14.187,15.914,22.248,16.7,1993
14.523,11.168,14.906,16.568,18.942,15.221,1994
22.04,14.806,13.129,17.225,20.106,17.461,1995
17.223,13.206,12.848,15.966,23.355,16.52,1996
18.983,11.571,13.681,14.125,18.41,15.354,1997
17.097,11.713,11.239,15.596,17.658,14.661,1998
20.693,15.035,14.958,17.261,19.013,17.392,1999
14.83,14.126,13.535,14.076,20.958,15.505,2000
18.943,12.574,11.329,17.661,19.31,15.963,2001
19.297,14.406,14.313,15.961,21.268,17.049,2002
16.943,14.061,11.71,15.279,23.626,16.324,2003
15.463,11.816,11.781,17.128,19.984,15.234,2004
20.487,14.623,14.042,17.861,15.087,16.42,2005
18.07,14.126,13.142,16.014,23.013,16.873,2006
20.56,12.416,12.823,16.029,20.735,16.513,2007
19.78,10.984,13.926,16.3,20,16.198,2008
19,13.006,13.081,15.396,19.258,15.948,2009
17.867,14.261,11.387,15.55,18.368,15.487,2010
17.24,14.626,16.126,17.496,19.445,16.987,2011
20.467,14.455,14.465,17.321,23.716,18.085,2012
21.407,15.481,19.358,19.286,23.497,19.806,2013
19.917,15.206,14.148,19.8,25.4,18.894,2014
16.947,12.687,14.445,NaN,NaN,NaN,2015
