November,December,January,February,March,average,year
17.537,15.403,13.558,15.938,20.91,16.669,1940
19.053,12.387,12.926,15.204,19.497,15.813,1941
18.59,12.077,14.19,17.439,19.277,16.315,1942
20.973,15.335,13.152,15.336,20.803,17.12,1943
15.737,15.168,12.258,16.693,16.571,15.285,1944
15.987,12.648,13.319,13.736,17.839,14.706,1945
16.61,12.506,13.013,17.396,19.903,15.886,1946
17.157,12.097,16.503,13.489,14.948,14.839,1947
18.033,9.474,10.016,12.555,15.442,13.104,1948
22.24,12.432,7.471,16.021,16.745,14.982,1949
18.64,12.281,10.1,13.696,18.91,14.725,1950
16.837,11.413,8.729,14.611,15.287,13.375,1951
18.02,10.216,13.974,17.017,18.777,15.601,1952
16.493,15.561,11.826,16.507,16.055,15.288,1953
16.453,10.065,10.903,15.011,19.294,14.345,1954
16.523,11.955,11.219,13.461,18.829,14.397,1955
21.277,16.194,11.239,15.755,17.132,16.319,1956
16.733,11.268,12.155,14.436,14.648,13.848,1957
19.7,18.484,13.555,14.907,21.365,17.602,1958
22.923,15.897,10.519,14.804,18.719,16.572,1959
15.98,12.313,11.329,15.803,15.742,14.233,1960
17.357,11.377,14.481,13.129,16.013,14.471,1961
18.7,15.271,12.913,18.196,16.477,16.311,1962
15.113,9.939,10.958,18.489,17.816,14.463,1963
14.873,13.452,12.094,16.986,19.135,15.308,1964
16.073,9.839,12.487,13.85,18.081,14.066,1965
18.147,12.929,13.41,16.664,15.787,15.387,1966
20.267,14.174,11.845,17.154,20.074,16.703,1967
16.09,10.665,9.681,11.555,19.19,13.436,1968
20.667,14.429,13.129,17.6,18.668,16.899,1969
16.333,10.061,12.426,16.607,17.081,14.502,1970
17.35,10.41,11.774,15.814,20.471,15.164,1971
14.18,8.016,10.174,15.024,15.494,12.578,1972
12.907,11.361,11.794,14.775,16.771,13.522,1973
16.683,10.635,12.768,13.271,14.661,13.604,1974
16.26,14.181,15.565,15.404,18.2,15.922,1975
21.423,18.029,12.216,19.748,18.174,17.918,1976
18.443,14.165,13.781,15.65,19.939,16.396,1977
18.057,12.69,13.206,14.571,19.387,15.582,1978
17.22,15.435,14.91,16.471,18.106,16.428,1979
20.053,15.9,13.871,17.703,18.303,17.166,1980
17.817,13.584,12,15.354,14.945,14.74,1981
14.93,13.168,12.674,15.004,16.09,14.373,1982
14.36,10.765,14.71,15.379,19.552,14.953,1983
13.593,11.687,13.352,18.624,17.484,14.948,1984
14.75,11.561,14.248,16.832,20.358,15.55,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
16.2,13.668,14.181,14.293,17.397,15.148,1988
20.873,15.958,13.877,15.475,21.142,17.465,1989
19.207,12.574,15.403,20.864,15.8,16.77,1990
19.813,14.09,11.645,16.989,18.435,16.194,1991
18.5,11.035,11.59,13.276,19.661,14.812,1992
18.147,NaN,15.326,13.707,20.558,NaN,1993
12.95,9.655,11.713,17.261,15.703,13.456,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
18.04,13.203,12.055,17.045,21.165,16.302,1996
16.403,12.603,11.106,11.525,17.181,13.764,1997
14.847,11.739,12.642,12.636,15.394,13.452,1998
17.44,15.581,12.577,14.079,18.403,15.616,1999
14.35,14.606,13.01,13.214,21.268,15.29,2000
17.06,11.332,12.123,17.196,17.926,15.127,2001
18.983,12.126,14.052,15.832,18.6,15.919,2002
14.53,11.661,11.481,14.146,23.277,15.019,2003
16.7,13.571,11.545,16.531,19.574,15.584,2004
18.597,13.694,12.674,17.718,12.671,15.071,2005
16.073,13.158,14.874,15.164,22.548,16.363,2006
20.513,12.116,10.7,15.754,19.713,15.759,2007
19.69,12.39,17.352,14.31,19.174,16.583,2008
17.997,11.455,11.9,14.943,18.061,14.871,2009
17.3,12.203,14.665,15.554,15.523,15.049,2010
16.33,15.89,15.716,17.121,16.135,16.238,2011
18.427,12.258,14.394,18.262,21.597,16.988,2012
20.583,16.303,20.342,16.868,20.194,18.858,2013
18.043,13.639,17.719,20,23.626,18.605,2014
17.333,11.745,12.503,NaN,NaN,NaN,2015
