November,December,January,February,March,year
100,100,100,100,100,1940
100,100,100,100,100,1941
100,96.7741935483871,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,100,100,1945
100,100,100,100,100,1946
100,100,100,100,100,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,100,100,100,100,1970
100,100,100,100,100,1971
100,100,100,100,100,1972
100,100,100,100,100,1973
100,100,100,100,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,100,1984
100,100,100,100,100,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
100,100,100,100,100,1988
100,100,100,100,100,1989
100,100,100,100,70.9677419354839,1990
100,100,100,100,100,1991
100,100,100,100,100,1992
100,35.4838709677419,100,100,100,1993
100,100,100,100,100,1994
63.3333333333333,58.0645161290323,58.0645161290323,60.7142857142857,54.8387096774194,1995
100,100,100,100,100,1996
100,100,100,100,100,1997
100,100,100,100,100,1998
100,100,100,100,100,1999
100,100,100,100,100,2000
100,100,100,100,100,2001
100,100,100,100,100,2002
100,100,100,100,100,2003
100,100,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,100,2006
100,100,100,100,100,2007
100,100,100,100,100,2008
100,100,100,100,100,2009
100,100,100,100,100,2010
100,100,100,100,100,2011
100,100,100,100,100,2012
100,100,100,100,100,2013
100,100,100,100,100,2014
100,100,93.5483870967742,0,0,2015
