November,December,January,February,March,average,year
16.667,14.316,12.323,14.41,19.21,15.385,1940
18.263,11.471,12.974,13.786,17.723,14.843,1941
16.09,10.713,13.41,16.582,17.271,14.813,1942
19.427,14.497,11.5,13.293,18.587,15.461,1943
15.84,15.639,14.174,16.69,16.416,15.752,1944
14.88,12.423,14.281,13.1,17.71,14.479,1945
16.697,13.7,14.458,17.264,19.284,16.281,1946
17.443,12.439,17.094,14.125,14.21,15.062,1947
17.633,9.252,9.468,11.483,15.594,12.686,1948
22.07,12.597,6.493,15.654,17.7,14.903,1949
19.307,13.303,10.952,14.464,19.547,15.515,1950
16.66,12.239,9.055,15.207,16.677,13.968,1951
19.287,10.929,14.494,18.607,19.626,16.589,1952
16.853,16.087,12.487,19.061,17.397,16.377,1953
18.003,11.994,12.632,15.911,20.148,15.738,1954
17.27,12.303,11.806,14.539,20.558,15.295,1955
22.423,18.065,12.135,17.434,18.206,17.653,1956
18.41,13.689,13.593,14.169,15.506,15.073,1957
19.22,18.513,14.177,15.129,22.371,17.882,1958
22.593,16.245,10.64,15.252,19.777,16.901,1959
15.743,14.277,14.232,16.917,17.348,15.703,1960
17.263,12.6,16.755,14.268,17.187,15.615,1961
19.01,16.687,14.81,18.989,18.155,17.53,1962
16.597,12.494,13.223,20.646,19.445,16.481,1963
15.537,13.41,14.442,19.048,21.561,16.8,1964
16.24,11.24,12.742,14.2,19.003,14.685,1965
17.57,12.852,13.739,19.343,16.645,16.03,1966
20.38,13.794,12.684,NaN,20.13,NaN,1967
16.04,9.716,10.019,10.972,20.413,13.432,1968
21.577,15.316,12.79,19.261,20.445,17.878,1969
17,10.955,13.8,18.161,17.616,15.506,1970
17.643,11.003,13.035,16.107,21.597,15.877,1971
16.033,8.8,11.094,15.628,17.358,13.783,1972
12.527,11.984,12.506,16.239,17.694,14.19,1973
17.877,12.513,15.468,13.811,16.023,15.138,1974
16.327,16.368,16.697,15.636,19.335,16.873,1975
22.56,18.513,13.782,20.231,18.287,18.675,1976
17.777,13.835,14.013,15.714,20.729,16.414,1977
17.76,13.161,12.681,13.882,19.694,15.436,1978
16.19,13.961,14.332,15.996,NaN,NaN,1979
19.67,15.971,13.416,17.271,18.155,16.897,1980
17.17,12.545,11.619,15.832,13.823,14.198,1981
15.42,12.919,13.4,14.261,16.065,14.413,1982
15.593,11.255,16.461,NaN,21.74,NaN,1983
14.533,12.826,14.745,18.321,17.213,15.528,1984
14.327,14.326,14.429,16.446,20.561,16.018,1985
20.22,12.755,11.435,16.519,16.838,15.553,1986
17.227,10.99,12.419,20.914,21.484,16.607,1987
14.94,13.497,13.384,13.252,16.181,14.251,1988
20.057,16.561,13.184,14.636,19.987,16.885,1989
18.607,11.758,14.632,20,14.316,15.863,1990
19.247,14.339,12.671,16.979,18.777,16.403,1991
17.647,11.058,11.058,12.914,19.568,14.449,1992
17.927,13.213,15.516,13.404,20.429,16.098,1993
12.747,9.535,11.445,17.996,15.59,13.463,1994
22.017,13.226,12.1,15.836,19.187,16.473,1995
18.137,13.058,12.323,16.876,20.842,16.247,1996
15.6,12.752,10.387,10.871,16.558,13.234,1997
14.753,12.271,14.035,12.161,15.339,13.712,1998
17.323,15.613,12.313,13.186,17.923,15.272,1999
14.553,15.106,12.99,12.834,21.006,15.298,2000
16.747,10.803,12.342,17.079,17.729,14.94,2001
19.24,11.906,14.748,15.996,18.248,16.028,2002
14.513,11.619,11.487,13.986,23.368,14.995,2003
17.333,13.813,12.565,16.859,19.6,16.034,2004
18.59,13.787,12.223,18.004,12.316,14.984,2005
15.637,13.006,15.01,14.804,22.187,16.129,2006
20.337,11.787,10.681,15.914,19.377,15.619,2007
19.59,11.739,17.21,13.548,18.684,16.154,2008
17.553,11.252,11.574,14.743,17.397,14.504,2009
16.76,11.439,14.913,14.796,14.716,14.525,2010
15.483,15.606,14.935,16.6,15.129,15.551,2011
17.83,11.31,14.571,17.679,20.774,16.433,2012
20.13,16.116,20.168,15.896,19.213,18.305,2013
17.963,13.41,18.103,20.046,23.658,18.636,2014
17.353,11.758,12.472,NaN,NaN,NaN,2015
