November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
18.407,9.946,9.552,13.487,17.061,13.691,1948
20.704,11.326,10.735,16.667,18.369,15.56,1949
19.407,13.154,11.613,15.079,18.871,15.625,1950
19.519,12.258,11.989,15.496,16.989,15.25,1951
18.389,12.115,14.839,17.989,20.179,16.702,1952
17.204,14.695,13.208,13.948,15.896,14.99,1953
15.741,10.072,9.247,14.643,19.301,13.801,1954
16.963,13.369,12.491,14.147,19.534,15.301,1955
19.907,13.996,11.254,15.556,18.925,15.928,1956
17.944,11.703,12.276,16.845,16.183,14.99,1957
20.685,17.151,14.194,15.556,21.9,17.897,1958
21.593,14.964,12.778,15.516,20.054,16.981,1959
16.667,10.842,8.656,16.648,18.082,14.179,1960
18.222,10.484,10.394,12.639,16.935,13.735,1961
19.722,10.771,10.197,18.452,16.935,15.215,1962
14.426,6.183,11.29,16.448,18.477,13.365,1963
14.537,13.62,11.093,16.149,18.781,14.836,1964
17.204,8.244,12.384,14.107,19.194,14.227,1965
18.574,10.914,12.294,13.81,16.703,14.459,1966
18.685,10.986,10,15.893,18.423,14.797,1967
15.093,9.677,9.498,11.456,18.118,12.768,1968
19.278,13.746,13.477,16.23,19.247,16.396,1969
18,11.47,11.237,14.365,18.28,14.67,1970
18,10.484,8.584,16.429,23.1,15.319,1971
13.815,8.853,11.344,15.747,16.147,13.181,1972
16.352,11.9,12.616,15.496,18.172,14.907,1973
16.796,10.663,9.534,14.663,15.789,13.489,1974
17.185,13.136,14.982,16.329,18.065,15.939,1975
19.222,15.789,10.233,18.544,19.391,16.636,1976
19.759,14.373,13.62,15.615,20.143,16.702,1977
17.093,10,11.47,16.329,19.498,14.878,1978
17.944,14.283,13.208,17.341,18.692,16.294,1979
20.444,12.133,13.118,17.414,18.996,16.421,1980
18.741,13.763,10.412,16.905,16.47,15.258,1981
14.63,12.491,9.946,16.091,17.993,14.23,1982
16.296,13.728,12.401,16.091,21.613,16.026,1983
16.352,11.039,8.746,18.008,17.24,14.277,1984
15.111,7.903,14.158,16.825,19.857,14.771,1985
20.704,11.9,12.186,16.905,18.548,16.049,1986
16.981,12.76,12.975,19.048,21.738,16.7,1987
17.056,12.33,12.24,14.195,18.835,14.931,1988
19.481,10.699,13.441,14.504,20.036,15.632,1989
19.204,11.111,14.265,18.571,15.627,15.756,1990
19.889,12.742,9.247,17.421,18.978,15.655,1991
19.111,11.165,11.81,14.904,20.753,15.549,1992
18.648,10.896,12.885,14.802,21.237,15.694,1993
14.685,10.538,14.731,16.21,18.154,14.864,1994
22.815,14.104,12.616,16.488,19.803,17.165,1995
17.926,13.566,12.401,16.954,22.186,16.607,1996
18.426,11.631,12.724,13.591,17.975,14.869,1997
16.704,11.398,10.753,14.504,16.577,13.987,1998
19.204,15.161,14.642,15.952,18.925,16.777,1999
15.204,13.423,13.029,14.789,21.004,15.49,2000
18.981,12.384,11.541,16.925,18.513,15.669,2001
18.5,13.781,13.208,16.111,20.215,16.363,2002
16.5,13.441,11.559,15.238,22.527,15.853,2003
16.167,12.742,11.057,17.337,20.556,15.572,2004
20.815,14.857,14.552,17.718,15.789,16.746,2005
18.204,14.642,14.785,16.925,23.548,17.621,2006
21.019,12.993,11.971,15.913,20.036,16.386,2007
19.444,10.95,14.588,15.747,19.14,15.974,2008
18.889,12.097,12.043,15.496,18.441,15.393,2009
17.111,13.692,11.039,15.218,17.545,14.921,2010
16.407,13.853,15.376,17.302,17.419,16.071,2011
19.389,12.778,13.029,16.935,21.792,16.785,2012
19.815,14.373,18.208,17.282,21.595,18.255,2013
19.5,15.376,14.427,19.603,24.588,18.699,2014
17.519,13.62,14.247,19.921,20.305,17.122,2015
