November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,9.48,12.854,16.756,NaN,1948
20.519,12.473,10.072,15.992,17.079,15.227,1949
19.407,13.297,11.111,14.167,18.262,15.249,1950
17.315,11.237,9.964,14.206,15.645,13.673,1951
17.259,11.326,14.391,16.59,17.616,15.436,1952
16.278,15.358,12.634,13.909,14.857,14.607,1953
15.315,9.57,9.606,14.881,18.262,13.527,1954
17.352,12.921,11.81,13.829,17.724,14.727,1955
20.167,14.283,11.613,14.904,17.276,15.649,1956
17.222,11.29,11.631,15.317,14.659,14.024,1957
19.833,17.258,13.763,14.722,20.753,17.266,1958
21.148,15.054,11.918,15.258,17.778,16.231,1959
15.852,11.183,8.477,16.667,16.362,13.708,1960
17.315,10.842,11.505,12.183,15.52,13.473,1961
17.611,10.968,10.072,17.361,15.269,14.256,1962
14.611,7.186,11.631,16.806,16.882,13.423,1963
13.833,12.921,10.287,14.77,15.735,13.509,1964
16.963,9.014,12.849,14.028,17.294,14.03,1965
16.87,10.394,12.043,13.651,14.857,13.563,1966
19.167,11.81,11.111,16.865,19.122,15.615,1967
15.981,10.125,9.821,12.165,17.384,13.095,1968
19.352,13.996,13.423,15.913,18.71,16.279,1969
18.074,10.591,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,9.889,16.878,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,2011
18.796,13.19,13.082,17.107,20.402,16.515,2012
20.259,15.376,19.176,17.163,20.376,18.47,2013
19.877,14.759,15.159,19.133,22.312,18.248,2014
17.996,13.426,13.566,18.786,18.667,16.488,2015
