November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,2.313,2.082,4.732,NaN,1947
2.977,2.452,-2.161,2.069,6.665,2.4,1948
5.987,1.065,0.755,4.168,4.658,3.327,1949
8.543,7.035,2.984,3.414,4.048,5.205,1950
5.52,1.739,2.239,3.496,4.303,3.459,1951
3.987,3.852,5.168,1.479,4.432,3.784,1952
6.393,1.023,1.974,4.264,4.7,3.671,1953
6.04,2.49,1.094,1.332,4.339,3.059,1954
3.13,6.513,5.029,0.868,4.206,3.949,1955
2.723,0.523,0.816,7.666,6.255,3.597,1956
4.537,2.961,3.277,6.918,5.671,4.673,1957
4.553,2.058,4.5,3.746,6.387,4.249,1958
3.413,0.529,2.368,4.068,6.655,3.407,1959
5.203,1.761,1.316,4.403,5.068,3.55,1960
3.407,2.916,0.303,5.146,4.468,3.248,1961
5.51,2.335,-1.252,7.95,5.129,3.934,1962
6.267,1.668,1.416,0.293,3.119,2.553,1963
4.773,5.187,4.045,2.869,6.213,4.617,1964
6.92,1.771,0.181,1.804,5.665,3.268,1965
7.66,4.445,2.652,4.171,6.413,5.068,1966
7.573,0.184,1.726,8.439,6.148,4.814,1967
6.273,1.503,4.348,4.083,4.674,4.176,1968
3.283,1.377,4.194,4.9,5.452,3.841,1969
5.72,3.687,2.435,2.279,4.706,3.765,1970
2.65,1.261,1.252,4.446,7.361,3.394,1971
6.337,1.219,2.365,6.19,5.161,4.254,1972
5.873,4.697,4.323,2.55,7.894,5.067,1973
5.137,2.684,1.342,4.207,5.074,3.689,1974
2.793,0.339,-0.661,3.821,4.313,2.121,1975
6.26,-0.032,3.948,4.503,4.252,3.786,1976
5.557,5.997,7.152,6.707,10.487,7.18,1977
4.597,1.445,3.9,5.096,8.752,4.758,1978
5.647,1.79,6.055,6.786,5.919,5.239,1979
4.433,3.087,4.406,6.017,7.187,5.026,1980
7.707,4.894,1.397,4.679,5.832,4.902,1981
6.23,3.023,4.129,7.182,8.445,5.802,1982
7.713,6.726,4.594,4.239,7.6,6.174,1983
6.733,4.358,2.761,3.945,5.748,4.709,1984
6.323,3.261,7.674,8.318,9.952,7.106,1985
5.967,4.719,2.732,5.654,7.103,5.235,1986
5.423,1.477,2.565,2.493,5.787,3.549,1987
6.78,1.932,-0.032,3.748,8.426,4.171,1988
4.357,0.506,1.684,2.786,7.368,3.34,1989
3.817,-1.268,2.445,5.936,5.955,3.377,1990
6.407,2.629,2.542,7.536,9.523,5.727,1991
5.923,2.848,4.445,5.921,9.794,5.786,1992
5.093,3.174,2.365,3.993,8.1,4.545,1993
3.333,3.613,7.206,7.964,7.89,6.001,1994
7.587,5.735,4.981,7.721,7.448,6.694,1995
7.053,5.752,5.658,4.31,8.194,6.193,1996
8.67,2.539,5.216,5.864,7.742,6.006,1997
6.277,0.255,2.9,4.271,6.235,3.988,1998
6.973,1.639,5.206,7.182,7.548,5.71,1999
4.227,3.384,2.171,4.479,9.026,4.657,2000
8.147,4.497,3.139,4.739,6.268,5.358,2001
7.6,4.858,6.261,5.239,7.665,6.325,2002
5.467,5.132,4.448,5.379,9.832,6.052,2003
6.447,4.274,5.339,7.728,9.139,6.585,2004
7.89,6.5,4.484,4.839,4.984,5.739,2005
7.933,2.619,-0.123,5.564,8.368,4.872,2006
7.597,2.481,3.761,4.796,7.252,5.177,2007
8.497,3.316,3.474,5.824,6.577,5.538,2008
5.547,3.884,5.387,7.029,6.748,5.719,2009
6.353,6.726,4.803,3.479,7.635,5.799,2010
6.623,0.465,3.045,5.471,7.116,4.544,2011
8.743,6.487,2.352,4.155,9.835,6.314,2012
8.003,1.587,4.19,8.243,10.229,6.45,2013
8.597,6.89,4.735,7.95,10.177,7.67,2014
5.27,2.655,5.597,NaN,NaN,NaN,2015
