November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
3.805,5.203,3.9,4.343,4.568,4.364,1941
4.913,3.668,2.461,4.943,7.061,4.609,1942
4.35,2.832,2.7,4.296,5.023,3.84,1943
5.36,3.461,2.255,4.697,4.087,3.972,1944
5.307,4.248,1.468,1.468,4.665,3.431,1945
3.913,3.842,-0.31,4.586,6.774,3.761,1946
3.193,1.974,1.861,1.964,3.442,2.487,1947
4.15,1.574,-1.919,2.269,6.606,2.536,1948
5.793,1.142,0.961,3.775,4.281,3.19,1949
9.233,7.487,3.748,4.886,4.803,6.031,1950
6.2,2.777,2.797,4.007,4.516,4.059,1951
3.35,5.097,6.668,3.714,4.697,4.705,1952
7.243,2.368,3.29,4.796,4.59,4.457,1953
5.63,3.297,1.535,2.296,4.558,3.463,1954
4.957,6.365,5.594,2.579,4.977,4.894,1955
4.417,0.594,1.381,7.272,7.052,4.143,1956
4.907,3.694,3.655,8.4,5.539,5.239,1957
5.663,4.168,5.719,4.771,6.913,5.447,1958
4.773,2.09,3.977,5.775,8.123,4.948,1959
6.787,3.765,2.919,5.707,5.994,5.034,1960
4.777,3.139,0.161,5.157,4.645,3.576,1961
6.613,4.235,-0.158,8.468,4.435,4.719,1962
6.82,2.59,2.745,2.332,4.042,3.706,1963
5.577,6.348,4.458,3.772,6.006,5.232,1964
7.587,1.468,2.197,3.093,5.971,4.063,1965
7.697,4.984,3.452,4.086,5.148,5.073,1966
7.647,1.035,1.39,8.046,6.597,4.943,1967
7,2.332,3.381,5.183,5.406,4.66,1968
4.78,4.271,5.9,5.964,6.632,5.509,1969
8.263,4.677,3.59,3.432,5.252,5.043,1970
4.813,1.771,0.842,5.436,7.481,4.069,1971
6.013,1.29,2.787,7.669,5.726,4.697,1972
6.883,5.103,4.048,3.411,7.306,5.35,1973
6.007,4.213,2.145,5.025,5.6,4.598,1974
6.687,3.21,1.565,5.296,5.497,4.451,1975
8.11,0.868,2.939,4.772,4.226,4.183,1976
6.273,6.432,7.423,7.089,9.387,7.321,1977
3.89,1.052,3.158,4.1,7.074,3.855,1978
5.633,2.845,4.858,6.793,5.174,5.061,1979
4.757,2.9,4.871,5.017,5.535,4.616,1980
11.257,6.103,1.519,5.393,5.968,6.048,1981
4.257,2.019,3.268,7.657,7.994,5.039,1982
7.837,7.439,4.871,4.7,8.219,6.613,1983
7.35,3.461,2.403,4.345,4.823,4.476,1984
4.527,2.726,7.184,8.275,9.819,6.506,1985
5.07,3.245,2.452,4.836,6.023,4.325,1986
6.707,4.784,4.432,4.921,7.006,5.57,1987
7.373,2.497,0.913,2.838,8.271,4.378,1988
5.003,1.542,3.116,2.996,6.239,3.779,1989
4.203,-1.258,2.51,6.407,5.542,3.481,1990
6.383,2.79,3.184,7.536,8.29,5.637,1991
5.383,2.503,3.139,5.017,9.248,5.058,1992
4.053,2.529,3.135,3.821,6.797,4.067,1993
3.537,2.99,7.748,6.546,6.923,5.549,1994
7.487,6.635,5.123,8.014,7.316,6.915,1995
7.05,7.11,5.487,5.634,7.223,6.501,1996
8.55,3.416,6.703,6.725,7.403,6.559,1997
6.407,0.348,3.29,3.921,5.074,3.808,1998
6.743,1.019,4.89,6.771,6.884,5.261,1999
3.593,3.416,2.387,4.51,7.574,4.296,2000
8.18,6.232,2.616,4.307,4.968,5.261,2001
6.113,5.777,7.074,4.257,7.068,6.058,2002
5.337,5.542,4.577,5.696,8.226,5.876,2003
5.663,3.919,4.513,6.441,7.635,5.634,2004
5.623,5.452,4.265,3.961,5.216,4.903,2005
6.557,2.406,-0.977,5.214,6.652,3.97,2006
5.65,2.848,3.855,3.493,5.732,4.316,2007
7.277,2.332,2.177,5.993,6.168,4.789,2008
4.643,2.858,5.771,6.657,5.842,5.154,2009
4.93,6.452,3.613,2.711,7.126,4.966,2010
5.28,0.297,1.674,4.329,6.255,3.567,2011
7.203,3.968,0.216,2.279,6.961,4.125,2012
6.013,-0.197,2.177,6.875,8.794,4.732,2013
7.717,8.513,4.416,7.107,8.674,7.285,2014
4.35,3.045,6.117,NaN,NaN,NaN,2015
