November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
11.86,7.128,7.413,9.983,12.842,9.845,1959
11.103,7.178,5.326,10.51,10.876,8.999,1960
10.706,6.301,5.326,8.121,10.504,8.192,1961
11.867,6.99,4.109,12.711,10.251,9.186,1962
9.901,4.373,6.538,8.811,9.791,7.883,1963
11.027,11.343,6.947,8.926,11.511,9.951,1964
11.927,4.419,6.809,7.931,11.392,8.496,1965
11.738,6.644,6.995,9.171,10.717,9.053,1966
12.639,6.43,5.942,12.729,13.061,10.16,1967
10.706,5.807,5.887,7.583,11.577,8.312,1968
11.287,9.318,9.635,11.008,12.645,10.779,1969
12.577,7.926,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,8.234,12.182,11.83,NaN,1972
11.123,9.283,9.134,10.92,13.099,10.712,1973
11.659,8.059,6.718,10.803,11.832,9.814,1974
11.041,8.321,8.251,10.402,11.396,9.882,1975
12.809,7.352,5.272,10.839,10.743,9.403,1976
11.596,9.806,10.509,11.343,14.877,11.626,1977
10.515,5.768,7.773,9.958,13.068,9.416,1978
11.149,8.538,8.916,11.433,11.635,10.334,1979
12.296,8.364,8.758,10.176,11.535,10.226,1980
13.296,10.211,6.306,10.696,11.224,10.347,1981
9.47,7.371,6.896,11.966,12.6,9.661,1982
12.207,11.06,9.273,10.723,14.758,11.604,1983
9.862,6.484,5.079,10.045,10.386,8.371,1984
8.383,5.277,9.984,11.549,14.293,9.897,1985
13.196,7.511,7.057,10.345,12.13,10.048,1986
11.062,8.045,8.203,11.089,13.111,10.302,1987
11.887,7.562,6.825,8.474,12.872,9.524,1988
11.952,6.382,7.65,7.813,12.936,9.347,1989
NaN,NaN,8.316,12.931,10.643,NaN,1990
13.335,7.995,6.317,12.924,14.313,10.977,1991
12.261,7.995,7.903,10.183,15.42,10.752,1992
11.76,7.967,8.846,10.149,14.489,10.642,1993
9.32,7.277,11.695,12.146,12.465,10.581,1994
15.436,10.943,9.284,12.611,13.98,12.451,1995
13.02,10.559,8.766,11.275,14.81,11.686,1996
13.956,8.303,10.201,10.484,13.004,11.19,1997
11.918,6.911,7.579,9.669,11.249,9.465,1998
13.625,NaN,10.374,11.452,13.289,NaN,1999
10.066,NaN,8.183,NaN,NaN,NaN,2000
13.83,9.723,7.937,11.088,12.45,11.006,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
11.833,7.232,7.154,9.285,12.58,9.617,2007
12.264,6.017,7.672,10.016,11.876,9.569,2008
10.811,6.567,8.669,10.868,11.699,9.723,2009
10.859,9.588,6.823,8.353,11.215,9.368,2010
9.989,6.659,7.883,9.856,10.812,9.04,2011
12.141,8.045,5.873,8.846,13.658,9.713,2012
12.142,5.886,9.096,11.232,13.903,10.452,2013
12.297,10.663,8.41,12.115,15.146,11.726,2014
9.684,7.888,9.392,11.577,13.2,10.348,2015
