November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,9.514,7.904,9.466,NaN,1947
11.533,5.372,3.67,7.161,10.751,7.697,1948
13.473,6.239,3.441,9.568,11,8.744,1949
13.234,8.95,6.402,8.753,12.003,9.868,1950
11.424,7.077,5.537,8.842,9.974,8.571,1951
10.709,6.952,9.925,10.223,12.128,9.987,1952
11.684,9.449,7.466,10.117,10.375,9.818,1953
10.906,5.875,5.535,8.244,12.058,8.524,1954
10.946,8.7,8.093,7.494,11.595,9.366,1955
12.056,7.506,5.441,10.57,11.949,9.504,1956
10.361,6.765,7.345,10.986,9.508,8.993,1957
12.225,11.086,9.066,9.5,13.881,11.152,1958
12.905,7.82,6.558,9.582,12.832,9.939,1959
10.874,7.487,6.215,10.765,10.528,9.174,1960
10.791,6.794,7.422,8.027,10.316,8.67,1961
12.098,8.345,5.023,12.751,10.192,9.682,1962
10.143,5.543,6.386,10.622,10.802,8.699,1963
9.902,9.649,7.568,10.093,12.348,9.912,1964
11.18,4.713,6.566,7.832,11.405,8.339,1965
13.297,8.971,8.136,10.097,10.33,10.166,1966
13.96,7.842,5.843,11.978,13.556,10.636,1967
11.286,6.076,5.855,7.674,12.006,8.579,1968
11.644,9.442,9.532,10.889,12.365,10.774,1969
12.087,6.619,7.339,9.576,11.092,9.343,1970
10.922,5.582,5.629,9.436,13.349,8.984,1971
9.186,4.135,5.282,9.898,9.643,7.629,1972
10.134,8.227,7.748,8.854,12.005,9.394,1973
10.277,6.5,6.067,8.364,9.774,8.196,1974
9.9,7.759,7.488,9.044,10.434,8.925,1975
13.673,8.62,6.225,11.556,11.715,10.358,1976
12.148,9.541,10.42,11.045,14.403,11.511,1977
11.191,6.574,7.939,9.673,13.59,9.793,1978
10.787,8.975,9.244,11.609,11.693,10.462,1979
12.057,9.296,8.797,11.064,12.351,10.713,1980
12.775,9.491,6.15,9.95,10.155,9.704,1981
9.553,8.115,7.855,11.044,11.966,9.707,1982
10.543,8.182,8.347,9.037,13.611,9.944,1983
9.661,6.579,6.607,11.286,11.087,9.044,1984
8.688,5.761,9.668,11.708,14.2,10.005,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
11.203,7.464,7.165,8.013,12.26,9.221,1988
12.338,7.927,8.362,8.882,14.095,10.321,1989
10.919,4.838,7.498,12.639,9.587,9.096,1990
NaN,NaN,NaN,11.656,12.758,NaN,1991
11.615,6.626,6.492,8.491,13.916,9.428,1992
10.516,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
13.341,9.005,7.732,10.749,12.58,10.681,1995
11.952,9.281,7.748,10.42,14.036,10.687,1996
NaN,7.73,8.447,8.801,11.82,NaN,1997
10.146,6.103,7.318,7.706,9.6,8.175,1998
11.708,8.029,8.015,9.825,12.312,9.978,1999
8.345,7.862,6.574,8.363,14.407,9.11,2000
11.546,8.161,7.344,10.482,11.365,9.78,2001
11.62,8.124,9.83,9.512,12.284,10.274,2002
9.724,7.72,6.694,9.2,15.353,9.738,2003
10.947,8.542,7.195,10.732,12.969,10.077,2004
11.683,8.733,8.55,10.226,8.474,9.533,2005
11.062,7.498,7.108,9.467,14.206,9.868,2006
12.762,7.426,6.578,9.607,12.404,9.755,2007
12.842,6.375,9.873,9.522,12.488,10.22,2008
11.057,6.319,8.334,10.345,11.711,9.553,2009
11.189,9.004,8.035,9.178,10.917,9.665,2010
9.917,8.399,7.982,10.549,10.829,9.535,2011
12.306,7.959,6.971,10.261,13.926,10.285,2012
12.804,7.455,11.245,11.212,13.962,11.336,2013
11.983,10.705,10.136,13.071,15.613,12.302,2014
10.164,7.773,9.38,12.492,13.367,10.635,2015
