November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
9.913,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
12.743,7.01,6.28,9.509,10.908,9.29,1986
10.979,7.177,7.385,12.056,13.375,10.194,1987
10.548,7.032,6.636,7.574,11.395,8.637,1988
11.606,6.833,7.046,7.388,12.998,9.174,1989
10.074,4.399,7.006,11.691,9.088,8.452,1990
12.02,7.356,6.437,11.62,12.602,10.007,1991
10.967,6.407,6.27,8.327,14.014,9.197,1992
10.345,6.987,8.914,7.488,13.262,9.399,1993
7.499,5.355,9.023,11.09,10.916,8.777,1994
13.509,8.925,7.135,10.924,12.809,10.66,1995
11.525,9.254,7.736,10.667,13.901,10.617,1996
11.024,7.609,7.958,7.949,11.095,9.127,1997
10.073,6.856,8.154,7.635,9.61,8.466,1998
11.588,8.01,7.924,9.23,12.053,9.761,1999
8.354,7.765,6.375,7.888,14.364,8.949,2000
11.335,7.896,6.961,10.826,11.531,9.71,2001
11.571,7.951,10.087,9.839,12.406,10.371,2002
9.609,7.386,6.495,9.192,15.976,9.732,2003
11.356,9.076,7.726,11.141,13.193,10.498,2004
11.227,8.638,8.323,10.734,8.252,9.435,2005
10.65,7.527,7.343,9.109,14.394,9.805,2006
12.959,7.373,6.617,9.594,12.219,9.752,2007
12.647,5.795,9.945,8.877,12.232,9.899,2008
10.727,6.255,8.061,9.869,11.309,9.244,2009
10.644,8.467,8.285,8.76,10.243,9.28,2010
9.097,8.245,7.403,10.319,10.151,9.043,2011
11.669,6.98,6.778,9.74,13.391,9.712,2012
11.926,6.949,10.667,10.307,13.075,10.585,2013
11.848,10.312,10.422,13.475,15.957,12.403,2014
10.319,7.877,9.136,12.767,13.769,10.774,2015
