year,meanFogStart
1973,NaN
1974,NaN
1975,8.6
1976,NaN
1977,9.5
1978,10.1428571428571
1979,8
1980,9
1981,NaN
1982,7.5
1983,9.97916666666667
1984,11.7575757575758
1985,12.5666666666667
1986,11.8974358974359
1987,9.93333333333333
1988,11.0483870967742
1989,9.88524590163934
1990,8.72413793103448
1991,8.27083333333333
1992,NaN
1993,10.1388888888889
1994,9.02857142857143
1995,8.85714285714286
1996,NaN
1997,NaN
1998,NaN
1999,NaN
2000,8
2001,NaN
2002,NaN
2003,NaN
2004,NaN
2005,6.27272727272727
2006,6.60975609756098
2007,6.88372093023256
2008,6.77049180327869
2009,7.78947368421053
2010,7.19047619047619
2011,7.53846153846154
2012,6.55555555555556
2013,7.64285714285714
2014,7.25
2015,7.79310344827586
2016,NaN
