year,meanFogStart
1973,NaN
1974,NaN
1975,8.6
1976,NaN
1977,9.5
1978,8.71428571428571
1979,8
1980,9
1981,NaN
1982,7
1983,8.47916666666667
1984,10.1666666666667
1985,10.2333333333333
1986,9.7948717948718
1987,11.7555555555556
1988,13.0806451612903
1989,12.0161290322581
1990,9.44827586206897
1991,9.28846153846154
1992,NaN
1993,9.19444444444444
1994,7.42857142857143
1995,7.46428571428571
1996,NaN
1997,NaN
1998,NaN
1999,NaN
2000,8
2001,NaN
2002,NaN
2003,NaN
2004,NaN
2005,7.88235294117647
2006,7.53488372093023
2007,6.08695652173913
2008,6.38095238095238
2009,8.1
2010,8.77272727272727
2011,6.92682926829268
2012,5.78723404255319
2013,7
2014,7.71428571428571
2015,7.1
2016,NaN
