November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
0,0,0,0,0,1959
0,0,0,0,0,1960
0,0,0,0,0,1961
0,0,0,0,0,1962
0,0,0,0,0,1963
0,0,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,0,0,0,1972
0,0,0,0,0,1973
0,0,0,0,0,1974
0,0,0,0,0,1975
0,0,0,0,0,1976
0,0,0,0,0,1977
0,0,0,0,0,1978
0,0,0,0,0,1979
0,0,0,0,0,1980
0,0,0,0,0,1981
0,0,0,0,0,1982
0,0,0,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
0,0,0,0,0,1988
0,0,0,0,0,1989
0,0,0,0,0,1990
0,29.0322580645161,0,0,0,1991
100,100,80.6451612903226,20.6896551724138,35.4838709677419,1992
100,100,96.7741935483871,100,100,1993
100,93.5483870967742,83.8709677419355,96.4285714285714,100,1994
83.3333333333333,100,100,100,90.3225806451613,1995
96.6666666666667,93.5483870967742,100,100,93.5483870967742,1996
63.3333333333333,96.7741935483871,80.6451612903226,100,70.9677419354839,1997
80,87.0967741935484,80.6451612903226,85.7142857142857,93.5483870967742,1998
96.6666666666667,100,87.0967741935484,64.2857142857143,100,1999
43.3333333333333,90.3225806451613,100,96.551724137931,100,2000
100,32.258064516129,96.7741935483871,100,96.7741935483871,2001
63.3333333333333,67.741935483871,16.1290322580645,0,0,2002
73.3333333333333,87.0967741935484,67.741935483871,78.5714285714286,93.5483870967742,2003
96.6666666666667,100,74.1935483870968,65.5172413793103,100,2004
70,38.7096774193548,100,71.4285714285714,64.5161290322581,2005
100,100,58.0645161290323,96.4285714285714,38.7096774193548,2006
100,100,100,100,93.5483870967742,2007
100,100,100,100,90.3225806451613,2008
90,100,100,100,96.7741935483871,2009
83.3333333333333,100,100,100,96.7741935483871,2010
100,93.5483870967742,100,85.7142857142857,93.5483870967742,2011
100,100,96.7741935483871,65.5172413793103,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
96.6666666666667,100,100,100,96.7741935483871,2015
0,0,100,100,96.7741935483871,2016
