November,December,January,February,March,average,year
0,0.013,0.023,0.014,0.004,0.011,1940
0.002,0.011,0.005,0.014,0.005,0.007,1941
0.002,0.004,0.004,0.003,0.003,0.003,1942
0.001,0.004,0.013,0.006,0.011,0.007,1943
0.01,0.004,0.004,0.01,0.001,0.006,1944
0.003,0.005,0.001,0.011,0.008,0.006,1945
0.005,0.008,0.002,0.005,0.008,0.006,1946
0.002,0.002,0.001,0.006,0.003,0.003,1947
0,0.004,0,0.006,0.007,0.003,1948
0.003,0.002,0.004,0.005,0.009,0.005,1949
0.004,0.005,0.007,0.005,0.004,0.005,1950
0.005,0.01,0.005,0.004,0.001,0.005,1951
0.005,0.01,0.013,0.002,0.011,0.008,1952
0.004,0.001,0.007,0,0.002,0.003,1953
0.003,0.005,0.007,0.004,0.006,0.005,1954
0.005,0.02,0.011,0.004,0,0.008,1955
0,0.001,0.005,0.002,0,0.002,1956
0.003,0.003,0.003,0.005,0.004,0.004,1957
0.001,0.001,0.007,0.011,0.013,0.007,1958
0,0.001,0.003,0.008,0.001,0.003,1959
0.01,0.001,0.004,0.008,0.002,0.005,1960
0.005,0.006,0.004,0,0.002,0.003,1961
0,0,0.004,0.021,0.004,0.006,1962
0.004,0.001,0.003,0.008,0.007,0.005,1963
0.007,0.006,0.002,0.001,0.004,0.004,1964
0.007,0.006,0.003,0.001,0.001,0.004,1965
0.003,0.012,0.002,0.002,0,0.004,1966
0.005,0.003,0.005,0.001,0.005,0.004,1967
0.003,NaN,0.004,0.003,0.002,NaN,1968
0.002,0.002,0.025,0.02,0.003,0.01,1969
0.012,0.005,0.01,0.004,0.006,0.007,1970
0.002,0.009,0.002,0.003,0.001,0.003,1971
0.009,0.005,0.001,0.003,0,0.004,1972
0.003,0.006,0.013,0.01,0.012,0.009,1973
0.001,0.005,0.01,0.001,0.008,0.005,1974
0.004,0.001,0.001,0.006,0.005,0.003,1975
0.003,0.002,0,0.012,0.003,0.004,1976
0.002,0.01,0.001,0,0.001,0.003,1977
0.002,0.003,0.01,0.017,0.015,0.009,1978
0.002,0.004,0.006,0.005,0.007,0.005,1979
0,0.003,0.012,0.013,0.005,0.007,1980
0.006,0.002,0.008,0.006,0.008,0.006,1981
NaN,0.003,0.006,0.001,0.016,NaN,1982
0.007,0.007,0.011,0.014,0.011,0.01,1983
0.008,0.007,0,0.002,0.001,0.004,1984
0.012,0.002,0.003,0.004,0.004,0.005,1985
0.001,0.004,0.005,0.013,0.011,0.007,1986
0.005,0.009,0.005,0.011,0.005,0.007,1987
0.003,0.008,0.006,0.001,0.003,0.004,1988
0.001,0,0.001,0.005,0.006,0.003,1989
0.001,0.001,0.007,0.004,0,0.003,1990
0.001,0.011,0.001,0.001,0.024,0.008,1991
0,0.009,0.005,0.011,0.004,0.006,1992
0.005,0.003,0.012,0.01,0.006,0.007,1993
0.008,0.004,0.004,0.006,0.002,0.005,1994
0,0.009,0.016,0.001,0.021,0.009,1995
0.007,0.013,0.006,0.01,0.007,0.009,1996
0.009,0.005,0.015,0.001,0.001,0.006,1997
0.003,0.002,0.011,0.016,0.013,0.009,1998
0.002,0,0.013,0.004,0.003,0.004,1999
0,0,0.007,0.015,0.005,0.005,2000
0.007,0.016,0.007,0.014,0.001,0.009,2001
0.006,0.005,0.003,0.001,0.004,0.004,2002
0.002,0.008,0.001,0.005,0.002,0.004,2003
0.003,0.003,0.003,0.008,0.005,0.004,2004
0.001,0.005,0.011,0.004,0.007,0.006,2005
0,0.002,0.014,0.001,0.009,0.005,2006
0,0.005,0.001,0.006,0.001,0.003,2007
0.006,0.004,0.007,0.007,0,0.005,2008
0.001,0.006,0.004,0.005,0.001,0.003,2009
0.003,0.02,0.005,0.009,0.002,0.008,2010
0.002,0,0.005,0.004,0.008,0.004,2011
0.001,0.006,0.002,0.001,0.005,0.003,2012
0.003,0.001,0.001,0.004,0.002,0.002,2013
0.004,0.008,0.001,0.004,0.005,0.004,2014
0.003,0.005,0,0.005,0,0.003,2015
0,0.007,0.008,0.003,0.007,0.005,2016
