November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
11.737,8.385,10.062,12.699,13.231,11.223,1942
12.51,11.927,11.112,13.854,14.903,12.861,1943
11.918,9.941,9.132,14.389,NaN,NaN,1944
13.649,9.889,10.35,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,12.447,14.386,15.012,NaN,1947
15.09,11.873,13.838,15.117,14.998,14.183,1948
9.675,12.227,13.035,13.816,15.545,12.86,1949
13.027,9.273,12.026,14.83,15.761,12.983,1950
12.836,13.004,13.125,14.601,15.506,13.814,1951
11.389,12.151,10.91,13.439,15.797,12.737,1952
12.125,10.773,13.153,10.027,14.364,12.088,1953
9.328,10.088,9.956,14.273,15.21,11.771,1954
11.821,11.756,10.645,12.348,14.997,12.313,1955
11.28,7.834,10.124,10.013,15.581,10.966,1956
12.019,8.906,9.749,14.435,15.481,12.118,1957
10.944,6.915,10.401,13.927,14.874,11.412,1958
8.996,8.922,13.602,13.39,13.165,11.615,1959
10.259,7.819,5.754,13.731,15.445,10.602,1960
11.42,6.181,6.871,11.618,14.687,10.155,1961
9.708,7.607,8.265,9.419,15.023,10.004,1962
10.023,3.219,9.524,12.903,14.903,10.114,1963
10.884,10.702,7.742,11.981,14.346,11.131,1964
10.645,6.983,9.436,13.891,13.528,10.897,1965
10.617,7.318,8.227,7.248,13.719,9.426,1966
8.5,9.709,8.764,9.105,14.711,10.158,1967
9.488,11.378,9.008,13.931,14.724,11.706,1968
8.912,10.18,12.997,10.845,14.232,11.433,1969
11.669,10.444,8.849,8.67,14.403,10.807,1970
9.632,11.169,6.505,10.036,13.983,10.265,1971
9.426,7.309,11.505,13.874,14.813,11.385,1972
13.723,7.586,11.126,13.266,13.116,11.763,1973
9.016,8.61,7.843,13.827,15.416,10.942,1974
12.37,7.126,7.463,11.62,15.461,10.808,1975
7.678,6.395,5.274,10.317,15.397,9.012,1976
11.938,8.04,10.94,10.015,13.335,10.854,1977
9.864,7.631,11.998,12.371,12.067,10.786,1978
12.691,9.471,8.227,12.672,14.523,11.517,1979
10.434,5.344,9.459,9.596,13.879,9.742,1980
11.329,8.421,9.844,11.096,13.408,10.82,1981
9.096,9.674,7.274,13.565,14.737,10.869,1982
12.016,10.765,7.068,12.056,14.029,11.187,1983
11.94,8.547,4.215,10.344,13.999,9.809,1984
9.796,5.068,8.617,12.144,11.714,9.468,1985
11.446,4.751,10.564,13.16,14.482,10.881,1986
9.83,13.196,8.78,10.683,14.104,11.319,1987
12.329,7.91,7.752,12.01,14.89,10.978,1988
9.025,5.604,10.021,12.001,14.176,10.165,1989
11.828,8.997,7.998,11.945,15.529,11.259,1990
10.705,9.746,5.824,13.447,14.585,10.861,1991
11.972,11.145,10.515,14.258,13.114,12.201,1992
12.38,7.811,8.133,13.845,14.949,11.424,1993
NaN,8.852,13.328,7.315,13.656,NaN,1994
10.617,9.606,10.309,11.884,13.911,11.265,1995
8.584,10.718,10.542,11.372,13.386,10.92,1996
12.302,9.036,10.658,13.781,12.971,11.75,1997
10.438,8.935,8.025,12.26,15.057,10.943,1998
9.079,9.608,11.166,14.248,13.799,11.58,1999
10.163,6.814,9.098,12.905,14.453,10.687,2000
9.242,12.06,8.742,10.574,14.993,11.122,2001
7.385,11.518,6.128,12.741,14.774,10.509,2002
12.09,12.459,8.67,14.486,13.532,12.247,2003
10.871,7.96,9.556,10.385,12.658,10.286,2004
11.189,9.724,11.472,11.95,15.349,11.937,2005
11.196,12.209,11.155,11.919,14.947,12.285,2006
8.518,12.065,11.697,11.643,14.996,11.784,2007
9.027,9.278,7.238,13.897,15.277,10.943,2008
12.472,9.795,9.72,12.033,15.54,11.912,2009
12.695,10.124,7.694,14.932,15.037,12.096,2010
11.252,9.082,10.104,15.115,15.573,12.225,2011
12.086,12.659,11.279,13.088,15.057,12.834,2012
12.04,9.711,9.161,14.14,15.547,12.12,2013
10.064,12.083,6.735,10.938,15.67,11.098,2014
13.218,13.466,12.917,12.094,15.68,13.475,2015
