November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
1.385,1.825,2.625,3.411,3.111,2.471,1959
2.398,1.965,1.111,2.79,3.305,2.314,1960
3.011,1.933,2.238,3.582,2.964,2.746,1961
1.537,1.201,1.835,1.887,2.984,1.889,1962
2.595,1.25,3.11,2.783,3.076,2.563,1963
3.358,4.826,2.51,2.766,2.551,3.202,1964
2.071,2.331,2.842,2.35,2.153,2.349,1965
1.994,1.949,2.41,1.559,3.274,2.237,1966
1.375,2.609,2.097,1.861,2.595,2.107,1967
2.311,2.582,3.329,3.442,2.778,2.888,1968
1.349,2.547,3.767,2.425,3.158,2.649,1969
2.822,3.091,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.058,3.005,3.656,NaN,1972
3.147,2.313,2.721,2.589,3.191,2.792,1973
1.205,2.133,1.891,3.517,3.468,2.443,1974
1.962,1.364,0.97,2.317,2.489,1.82,1975
1.275,1.111,1.578,1.906,3.323,1.839,1976
1.79,2.08,3.04,2.809,2.463,2.436,1977
1.528,1.195,2.026,2.965,1.932,1.929,1978
1.425,1.524,2.49,2.918,2.749,2.221,1979
1.248,1.452,1.747,1.808,2.341,1.719,1980
2.209,2.263,2.308,2.279,3.265,2.465,1981
1.972,2.206,1.956,3.42,3.376,2.586,1982
2.088,2.149,1.419,1.651,2.436,1.949,1983
2.196,1.892,1.411,2.614,2.181,2.059,1984
1.608,1.062,1.292,2.709,2.311,1.796,1985
1.824,1.358,2.151,2.261,2.503,2.019,1986
1.776,3.414,2.273,1.781,2.729,2.395,1987
2.707,2.277,1.65,1.848,2.622,2.221,1988
1.371,1.072,2.196,2.305,1.94,1.777,1989
NaN,NaN,1.756,1.757,3.994,NaN,1990
2.425,2.147,1.987,3.332,2.417,2.462,1991
1.595,3.292,2.616,2.363,1.925,2.358,1992
1.505,1.859,1.53,2.467,2.545,1.981,1993
3.607,3.134,5.066,2.793,5.135,3.947,1994
2.509,3.92,3.902,3.9,3.832,3.613,1995
2.448,4.545,2.564,2.656,2.29,2.901,1996
2.451,2.783,3.383,3.763,2.356,2.947,1997
3.106,2.457,3.045,3.35,2.645,2.921,1998
NaN,NaN,2.871,3.519,3.661,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
3.185,4.197,2.875,3.05,3.292,3.32,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
2.275,3.306,3.961,3.123,3.691,3.271,2007
2.137,2.917,2.212,3.934,3.699,2.98,2008
2.35,2.223,3.196,2.689,3.493,2.79,2009
3.277,3.128,2.025,4.008,4.497,3.387,2010
2.862,2.698,2.717,3.378,4.199,3.171,2011
2.739,3.831,2.009,2.959,2.85,2.878,2012
2.507,2.194,2.132,3.411,3.664,2.782,2013
2.224,3.214,1.898,3.03,2.482,2.57,2014
2.764,3.539,3.281,2.537,3.484,3.121,2015
