November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
3.122,2.988,2.525,3.911,3.94,3.297,1947
3.342,3.379,4.78,4.045,4.981,4.105,1948
3.138,3.946,5.652,3.274,4.581,4.118,1949
4.284,3.057,4.601,3.922,5.47,4.267,1950
3.853,5.324,5.595,4.055,5.985,4.962,1951
3.63,5.375,4.906,4.742,4.287,4.588,1952
3.568,3.635,4.161,3.478,4.336,3.836,1953
3.591,3.963,3.88,4.264,4.507,4.041,1954
3.003,5.162,4.044,5.003,4.187,4.28,1955
3.101,3.025,4.073,3.992,4.569,3.752,1956
3.84,3.519,4.086,4.666,4.866,4.195,1957
2.777,2.079,3.953,4.316,4.183,3.462,1958
2.364,2.339,3.35,4.596,4.048,3.339,1959
2.605,2.476,1.72,2.661,3.538,2.6,1960
3.26,2.307,2.497,4.152,3.464,3.136,1961
1.613,1.239,2.09,1.872,2.839,1.931,1962
2.053,1.374,2.952,3.525,3.943,2.769,1963
3.227,4.123,2.922,3.557,3.078,3.381,1964
2.583,2.757,2.967,3.207,3.167,2.936,1965
2.989,3.177,3.222,2.218,3.401,3.001,1966
2.246,3.418,2.742,2.304,3.095,2.761,1967
3.028,3.29,3.778,3.873,3.624,3.519,1968
1.954,3.078,3.598,2.792,3.684,3.021,1969
3.063,3.275,3.018,3.269,4.015,3.328,1970
2.877,3.565,2.48,2.362,3.257,2.908,1971
2.558,3.493,3.036,3.08,3.991,3.232,1972
3.323,2.691,3.153,3.092,3.448,3.141,1973
1.814,3.323,2.99,4.186,4.681,3.399,1974
2.804,2.141,1.715,3.225,3.895,2.756,1975
1.95,1.901,2.465,2.417,4.496,2.646,1976
2.278,3.01,3.635,3.406,3.092,3.084,1977
2.446,2.258,3.111,3.027,2.761,2.721,1978
2.292,2.871,3.147,3.763,4,3.215,1979
2.621,2.457,3.2,2.963,3.446,2.937,1980
3.128,3.055,3.136,3.05,3.206,3.115,1981
2.249,2.689,2.97,4.031,3.694,3.127,1982
2.883,3.046,2.083,2.94,4.081,3.007,1983
3.131,2.536,1.313,3.115,3.46,2.711,1984
2.284,1.918,2.073,3.907,3.427,2.722,1985
2.415,1.751,2.878,2.985,3.338,2.673,1986
1.969,3.968,2.332,2.468,3.078,2.763,1987
2.448,3.329,2.507,2.912,3.586,2.956,1988
1.364,1.552,2.71,3.055,2.785,2.293,1989
2.348,2.145,2.36,2.323,3.998,2.635,1990
2.901,2.673,2.955,3.619,3.216,3.073,1991
2.82,3.929,3.754,3.328,3.041,3.374,1992
2.425,2.819,NaN,NaN,3.175,NaN,1993
2.388,1.457,3.516,0.974,2.969,2.261,1994
1.869,3.026,3.032,3.327,3.303,2.911,1995
2.641,4.536,3.445,3.649,3.271,3.508,1996
3.019,3.396,3.592,4.387,3.266,3.532,1997
2.484,2.121,2.492,2.734,2.769,2.52,1998
1.811,1.816,2.264,2.864,3.305,2.412,1999
1.804,1.562,2.669,3.407,2.589,2.406,2000
2.349,3.4,2.199,1.998,2.778,2.545,2001
1.932,3.048,1.781,2.481,2.973,2.443,2002
1.976,2.622,1.865,2.814,2.611,2.378,2003
2.194,2.424,1.996,2.154,2.822,2.318,2004
2.276,2.524,2.437,2.089,3.245,2.514,2005
2.092,2.279,2.352,2.673,2.437,2.367,2006
1.629,2.709,2.659,2.412,2.905,2.463,2007
1.336,1.861,1.323,2.488,2.602,1.922,2008
1.642,1.679,2.02,2.001,2.55,1.978,2009
2.049,1.899,1.315,2.722,2.932,2.183,2010
1.946,1.661,1.775,2.428,2.657,2.093,2011
1.559,2.268,1.18,1.778,2.169,1.791,2012
1.767,1.152,0.888,2.192,2.434,1.687,2013
1.259,2.382,0.958,1.87,1.764,1.647,2014
1.804,2.218,2.531,1.85,2.628,2.206,2015
