November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,2.677,NaN,1940
1.033,2.12,2.576,3.572,3.335,2.527,1941
2.465,2.34,2.591,1.847,2.288,2.306,1942
1.686,2.888,2.721,3.214,3.406,2.783,1943
2.128,1.436,1.909,3.319,2.938,2.346,1944
2.911,3.56,3.582,3.252,4.372,3.535,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.512,3.467,3.984,NaN,1972
4.136,3.455,3.992,3.516,3.739,3.768,1973
3.019,4.076,3.456,4.376,4.623,3.91,1974
3.226,2.933,2.362,2.966,4.123,3.122,1975
2.336,2.383,2.853,3.03,4.33,2.986,1976
3.221,3.17,4.048,3.579,3.415,3.487,1977
3.03,3.106,3.702,3.342,3.062,3.248,1978
2.494,2.854,2.844,3.9,3.685,3.155,1979
2.837,2.607,3.031,2.821,3.253,2.91,1980
2.962,3.065,NaN,NaN,NaN,NaN,1981
2.777,2.964,3.151,3.814,3.284,3.198,1982
3.152,3.316,2.401,2.614,3.67,3.031,1983
2.859,2.393,1.9,2.865,3.543,2.712,1984
2.781,2.008,2.975,4.111,3.451,3.065,1985
2.928,2.429,2.983,3.054,3.373,2.953,1986
2.669,4.487,2.863,2.514,3.956,3.298,1987
3.294,3.288,2.455,2.928,3.256,3.044,1988
1.972,1.687,2.863,3.209,3.368,2.62,1989
2.739,2.255,NaN,NaN,NaN,NaN,1990
NaN,NaN,2.448,3.736,2.913,NaN,1991
3.121,4.072,4.328,3.952,3.277,3.75,1992
2.929,3.265,2.862,3.477,3.48,3.203,1993
3.998,3.514,5.505,2.429,4.531,3.995,1994
3.101,3.759,4.047,4.012,3.819,3.748,1995
2.887,4.378,3.397,3.42,3.014,3.419,1996
2.859,2.978,3.436,4.861,2.997,3.426,1997
3.109,2.772,2.847,3.098,3.406,3.046,1998
2.075,2.367,2.692,3.594,3.561,2.858,1999
2.233,1.915,2.911,3.966,3.148,2.835,2000
2.74,3.884,2.591,2.196,3.27,2.936,2001
2.261,3.724,2.031,2.594,3.342,2.79,2002
2.425,3.28,2.546,3.486,2.913,2.93,2003
2.484,2.798,2.495,2.51,3.092,2.676,2004
2.683,3.376,2.836,2.484,3.577,2.991,2005
2.531,2.921,2.732,3.071,2.99,2.849,2006
1.96,3.153,2.974,2.918,3.419,2.885,2007
1.762,2.483,1.742,3.041,3.449,2.495,2008
2.227,2.278,2.921,2.721,3.147,2.659,2009
2.269,2.793,1.717,2.968,3.746,2.699,2010
2.475,1.691,2.356,2.852,3.142,2.503,2011
2.133,3.158,1.756,2.276,2.884,2.441,2012
1.846,1.815,1.456,2.853,2.881,2.17,2013
1.761,3.133,1.488,2.297,2.659,2.268,2014
2.312,2.866,2.918,2.513,3.46,2.814,2015
