November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
3.588,4.744,4.499,5.402,6.492,4.945,1943
4.033,3.229,3.57,5.598,5.418,4.37,1944
3.907,4.031,4.316,3.761,5.449,4.293,1945
4.373,2.466,2.933,2.545,4.673,3.398,1946
4.474,4.197,4.724,6.059,5.302,4.951,1947
4.149,3.979,5.85,4.09,5.545,4.723,1948
3.5,3.959,4.5,4.145,5.529,4.327,1949
4.341,3.872,4.695,4.476,5.758,4.628,1950
4.295,4.624,4.359,4.645,6.378,4.86,1951
4.99,4.38,2.511,4.404,4.192,4.095,1952
2.663,2.722,3.036,3.056,5.068,3.309,1953
2.219,2.564,2.933,4.038,4.774,3.306,1954
2.35,4.59,3.062,5.397,4.506,3.981,1955
2.708,2.042,2.854,2.965,3.757,2.865,1956
2.842,2.289,2.239,3.015,3.388,2.755,1957
2.416,1.61,2.995,3.541,4.22,2.956,1958
2.482,2.329,2.431,3.347,3.296,2.777,1959
1.668,2.427,2.513,3.107,4.595,2.862,1960
2.698,1.713,2.501,3.838,3.966,2.943,1961
2.483,1.676,2.668,2.431,3.397,2.531,1962
2.242,2.053,2.937,4.249,3.938,3.084,1963
3.233,3.947,2.83,3.311,3.092,3.283,1964
3.387,2.475,2.821,3.16,3.916,3.152,1965
3.27,3.113,3.061,2.811,4.033,3.258,1966
2.545,3.927,2.498,2.38,3.533,2.977,1967
2.744,3.078,3.732,3.678,3.942,3.435,1968
1.949,3.025,3.764,3.138,3.872,3.15,1969
2.702,2.664,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.679,3.577,4.783,NaN,1972
3.201,2.384,3.687,3.03,3.68,3.196,1973
2.378,3.519,2.461,3.961,4.863,3.436,1974
3.191,1.803,1.086,2.619,3.349,2.41,1975
1.858,1.847,2.157,2.149,4.331,2.468,1976
2.598,2.865,3.203,2.845,3.16,2.934,1977
2.595,2.209,2.652,2.968,2.907,2.666,1978
1.777,1.758,1.871,2.715,2.598,2.144,1979
2.487,1.985,2.029,2.271,2.78,2.31,1980
2.336,1.708,2.599,2.722,2.893,2.452,1981
2.668,2.82,2.897,3.648,3.417,3.09,1982
2.582,2.616,2.196,1.756,2.647,2.359,1983
2.831,2.744,1.592,3.084,3.302,2.711,1984
2.302,1.922,1.531,3.158,3.491,2.481,1985
3.428,2.003,3.25,2.933,3.579,3.039,1986
1.668,3.754,2.574,3.208,4.047,3.05,1987
3.596,3.446,2.543,3.499,3.835,3.384,1988
2.424,1.768,2.545,2.915,4.62,2.854,1989
3.237,2.335,2.734,2.812,5.161,3.256,1990
3.186,3.056,2.564,3.223,3.647,3.135,1991
2.906,3.603,3.779,3.226,3.606,3.424,1992
4.479,3.703,3.418,4.125,4.588,4.063,1993
4.719,3.563,5.628,3.184,5.191,4.457,1994
3.355,3.55,3.516,3.923,4.779,3.825,1995
3.5,4.141,4.022,4.036,4.164,3.973,1996
3.089,4.503,3.59,4.323,3.594,3.82,1997
3.724,3.235,3.512,3.747,4.088,3.661,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,2.995,3.493,3.949,NaN,2004
3.641,3.223,3.408,3.072,3.818,3.432,2005
3.183,3.164,3.513,4.056,4.817,3.747,2006
3.739,3.772,4.467,3.773,4.716,4.093,2007
3.141,3.02,2.671,4.181,4.449,3.492,2008
3.007,2.685,3.209,2.872,3.763,3.107,2009
3.488,2.711,2.447,4.199,4.054,3.38,2010
3.281,3.338,2.991,3.845,4.001,3.491,2011
2.761,3.062,2.636,3.618,4.158,3.247,2012
3.463,2.766,2.934,3.783,4.438,3.477,2013
2.647,3.081,2.044,3.392,3.728,2.978,2014
3.029,3.021,3.207,2.966,4.079,3.26,2015
